support_id,job_id,design_type,reason,coverage_item,coverage_option,intensity,coherence,pattern,profile
161,pew_w154_diff1_uniform_repair_r2_161,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
162,pew_w154_diff1_uniform_repair_r2_162,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
163,pew_w154_diff1_uniform_repair_r2_163,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically different"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""workplace"": ""Men and women are basically similar""}",
164,pew_w154_diff1_uniform_repair_r2_164,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically different"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
165,pew_w154_diff1_uniform_repair_r2_165,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
166,pew_w154_diff1_uniform_repair_r2_166,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
167,pew_w154_diff1_uniform_repair_r2_167,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""workplace"": ""Men and women are basically different""}",
168,pew_w154_diff1_uniform_repair_r2_168,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
169,pew_w154_diff1_uniform_repair_r2_169,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""workplace"": ""Men and women are basically different""}",
170,pew_w154_diff1_uniform_repair_r2_170,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
171,pew_w154_diff1_uniform_repair_r2_171,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically different"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
172,pew_w154_diff1_uniform_repair_r2_172,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
173,pew_w154_diff1_uniform_repair_r2_173,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
174,pew_w154_diff1_uniform_repair_r2_174,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""workplace"": ""Men and women are basically different""}",
175,pew_w154_diff1_uniform_repair_r2_175,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""workplace"": ""Men and women are basically different""}",
176,pew_w154_diff1_uniform_repair_r2_176,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically different"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""workplace"": ""Men and women are basically similar""}",
177,pew_w154_diff1_uniform_repair_r2_177,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically different"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
178,pew_w154_diff1_uniform_repair_r2_178,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
179,pew_w154_diff1_uniform_repair_r2_179,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
180,pew_w154_diff1_uniform_repair_r2_180,adaptive_uniform,repair measured equal-weight marginal deficits,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically different"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""workplace"": ""Men and women are basically different""}",
