support_id,job_id,variant,profile_summary,valid
1,pew_w154_diff1_uniform_n96_001,,"This profile reflects a consistently similarity-oriented view of gender, seeing men and women as largely alike across personal interests, physical abilities, parenting, emotional expression, and workplace strengths.",True
2,pew_w154_diff1_uniform_n96_002,,"This profile reflects a generally similarity-oriented view of men and women across personal interests, physical abilities, parenting, and emotional expression, while making a notable exception for the workplace, where men and women are seen as basically different in the things they are good at.",True
3,pew_w154_diff1_uniform_n96_003,,"This profile reflects a generally similarity-oriented view of men and women across interests, abilities, parenting, and workplace strengths, while maintaining that men and women differ in how they express emotions.",True
4,pew_w154_diff1_uniform_n96_004,,"This profile emphasizes broad similarity between men and women in personal interests, physical abilities, and parenting, while distinguishing them more in emotional expression and workplace strengths.",True
5,pew_w154_diff1_uniform_n96_005,,"This profile reflects a broadly similarity-oriented view of men and women across most domains, including interests, physical abilities, emotional expression, and workplace strengths, while seeing parenting approaches as the main area where men and women are basically different.",True
6,pew_w154_diff1_uniform_n96_006,,"This profile sees men and women as largely alike in personal interests, physical abilities, and emotional expression, while distinguishing them in parenting approaches and workplace strengths.",True
7,pew_w154_diff1_uniform_n96_007,,"This profile reflects a view that men and women are broadly similar in interests, physical capabilities, and workplace strengths, while still differing in more relational or expressive domains such as parenting style and emotional expression.",True
8,pew_w154_diff1_uniform_n96_008,,"This profile views men and women as broadly alike in personal interests and physical abilities, but sees gender differences as more salient in family roles, emotional expression, and workplace strengths.",True
9,pew_w154_diff1_uniform_n96_009,,"This profile views men and women as largely alike in interests, parenting, emotional expression, and workplace strengths, while seeing physical abilities as the main area where basic differences remain.",True
10,pew_w154_diff1_uniform_n96_010,,"Views men and women as broadly similar in hobbies, parenting, and emotional expression, while seeing clearer gender differences in physical abilities and in the kinds of things men and women tend to be good at in the workplace.",True
11,pew_w154_diff1_uniform_n96_011,,"This profile views men and women as mostly similar in personal interests, parenting approach, and workplace strengths, while seeing clearer gender differences in physical abilities and emotional expression.",True
12,pew_w154_diff1_uniform_n96_012,,"This profile reflects a mixed view: men and women are seen as broadly similar in hobbies and parenting, but basically different in physical abilities, emotional expression, and workplace strengths.",True
13,pew_w154_diff1_uniform_n96_013,,"This profile emphasizes broad similarity between men and women in interests, emotional expression, and workplace abilities, while still seeing meaningful gender differences in physical abilities and parenting approaches.",True
14,pew_w154_diff1_uniform_n96_014,,"This respondent views men and women as similar in personal interests and emotional expression, but sees gender differences as more pronounced in physical abilities, parenting approaches, and workplace strengths.",True
15,pew_w154_diff1_uniform_n96_015,,"This profile sees men and women as alike in personal interests and workplace capabilities, while viewing differences as more pronounced in physical abilities, parenting approaches, and emotional expression.",True
16,pew_w154_diff1_uniform_n96_016,,"This profile sees men and women as sharing broadly similar hobbies and personal interests, but views gender differences as salient across physical abilities, parenting styles, emotional expression, and workplace strengths.",True
17,pew_w154_diff1_uniform_n96_017,,"This profile sees men and women as largely alike across abilities, parenting, emotional expression, and workplace strengths, while viewing hobbies and personal interests as the main area where gender differences stand out.",True
18,pew_w154_diff1_uniform_n96_018,,"This profile sees men and women as mostly similar in core capacities and family or emotional roles, including physical abilities, parenting, and expressing feelings, while still perceiving gender differences in personal interests and workplace strengths.",True
19,pew_w154_diff1_uniform_n96_019,,"This response pattern reflects a view that men and women differ mainly in personal interests and emotional expression, while being broadly similar in physical abilities, parenting approaches, and workplace strengths.",True
20,pew_w154_diff1_uniform_n96_020,,"This profile sees men and women as often differing in personal interests, emotional expression, and workplace strengths, while viewing them as broadly similar in physical abilities and approaches to parenting.",True
21,pew_w154_diff1_uniform_n96_021,,"This response pattern views gender differences as more apparent in personal interests and parenting styles, while emphasizing basic similarity between men and women in physical abilities, emotional expression, and workplace strengths.",True
22,pew_w154_diff1_uniform_n96_022,,"This profile sees men and women as differing in socially shaped roles and preferences, especially hobbies, parenting styles, and workplace strengths, while viewing them as broadly similar in physical abilities and emotional expression.",True
23,pew_w154_diff1_uniform_n96_023,,"This profile reflects a view that men and women differ mainly in personal interests, parenting styles, and emotional expression, while seeing them as broadly similar in physical abilities and workplace strengths.",True
24,pew_w154_diff1_uniform_n96_024,,"This response pattern reflects a view that men and women differ in many social and behavioral domains, including interests, parenting style, emotional expression, and workplace strengths, while seeing their physical abilities as more basically similar overall.",True
25,pew_w154_diff1_uniform_n96_025,,"This profile distinguishes between perceived sex differences in personal interests and physical capabilities, while emphasizing similarity in social and role-based domains such as parenting, emotional expression, and workplace strengths.",True
26,pew_w154_diff1_uniform_n96_026,,"This profile reflects a view that men and women differ in some practical or interest-based areas, especially hobbies, physical abilities, and workplace strengths, while seeing them as broadly similar in relational and emotional domains such as parenting and expressing feelings.",True
27,pew_w154_diff1_uniform_n96_027,,"This response pattern views men and women as differing in personal interests, physical abilities, and emotional expression, while seeing them as broadly similar in parenting approaches and workplace strengths.",True
28,pew_w154_diff1_uniform_n96_028,,"This profile reflects a view that men and women differ in several broad areas, especially physical abilities, emotional expression, hobbies, and workplace strengths, while seeing their approach to parenting as largely similar.",True
29,pew_w154_diff1_uniform_n96_029,,"This profile reflects a view that men and women differ in some personal, family, and physical domains, especially hobbies, physical abilities, and parenting approaches, while seeing them as broadly similar in emotional expression and workplace strengths.",True
30,pew_w154_diff1_uniform_n96_030,,"This profile reflects a view that men and women differ across many practical and role-related domains, including interests, physical abilities, parenting approaches, and workplace strengths, while seeing emotional expression as an area where men and women are basically similar.",True
31,pew_w154_diff1_uniform_n96_031,,"This profile sees men and women as generally different in personal interests, physical abilities, parenting approaches, and emotional expression, while viewing workplace strengths and competencies as largely similar across genders.",True
32,pew_w154_diff1_uniform_n96_032,,"This profile reflects a consistently difference-oriented view, seeing men and women as basically different across personal interests, physical abilities, parenting approaches, emotional expression, and workplace strengths.",True
33,pew_w154_diff1_uniform_n96_033,,"This profile reflects a consistently similarity-oriented view, seeing men and women as largely alike across personal interests, physical abilities, parenting, emotional expression, and workplace strengths.",True
34,pew_w154_diff1_uniform_n96_034,,"This respondent generally sees men and women as alike across personal interests, physical abilities, parenting, and emotional expression, but distinguishes the workplace as an area where men and women tend to be good at different things.",True
