job_id,target_id,model,service_name,valid,raw_sum,min_probability,max_probability
pew_work_family_priors_one_shot_relationship_status,marginal:relationship_status,gpt-5.5,openai,True,1.0,0.08,0.49
pew_work_family_priors_one_shot_relationship_status,marginal:relationship_status,anthropic/claude-opus-5,deep_infra,True,1.0,0.09,0.49
pew_work_family_priors_one_shot_relationship_status,marginal:relationship_status,grok-4.5,xai,True,1.0,0.08,0.49
pew_work_family_priors_one_shot_children_at_home,marginal:children_at_home,gpt-5.5,openai,True,1.0,0.075,0.68
pew_work_family_priors_one_shot_children_at_home,marginal:children_at_home,anthropic/claude-opus-5,deep_infra,True,1.0,0.07,0.64
pew_work_family_priors_one_shot_children_at_home,marginal:children_at_home,grok-4.5,xai,True,1.0,0.07,0.7
pew_work_family_priors_one_shot_household_income,marginal:household_income,gpt-5.5,openai,True,1.0,0.2,0.29
pew_work_family_priors_one_shot_household_income,marginal:household_income,anthropic/claude-opus-5,deep_infra,True,1.0,0.18,0.33
pew_work_family_priors_one_shot_household_income,marginal:household_income,grok-4.5,xai,True,1.0,0.18,0.3
pew_work_family_priors_one_shot_marriage_importance,marginal:marriage_importance,gpt-5.5,openai,True,1.0,0.22,0.3
pew_work_family_priors_one_shot_marriage_importance,marginal:marriage_importance,anthropic/claude-opus-5,deep_infra,True,1.0,0.2,0.31
pew_work_family_priors_one_shot_marriage_importance,marginal:marriage_importance,grok-4.5,xai,True,1.0,0.14,0.31
pew_work_family_priors_one_shot_parenthood_importance,marginal:parenthood_importance,gpt-5.5,openai,True,1.0,0.13,0.47
pew_work_family_priors_one_shot_parenthood_importance,marginal:parenthood_importance,anthropic/claude-opus-5,deep_infra,True,1.0,0.17,0.37
pew_work_family_priors_one_shot_parenthood_importance,marginal:parenthood_importance,grok-4.5,xai,True,1.0,0.12,0.42
pew_work_family_priors_one_shot_paid_work_priority,marginal:paid_work_priority,gpt-5.5,openai,True,1.0,0.08,0.39
pew_work_family_priors_one_shot_paid_work_priority,marginal:paid_work_priority,anthropic/claude-opus-5,deep_infra,True,1.0,0.07,0.42
pew_work_family_priors_one_shot_paid_work_priority,marginal:paid_work_priority,grok-4.5,xai,True,1.0,0.06,0.45
pew_work_family_priors_one_shot_childcare_division,marginal:childcare_division,gpt-5.5,openai,True,1.0,0.04,0.38
pew_work_family_priors_one_shot_childcare_division,marginal:childcare_division,anthropic/claude-opus-5,deep_infra,True,1.0,0.07,0.47
pew_work_family_priors_one_shot_childcare_division,marginal:childcare_division,grok-4.5,xai,True,1.0,0.13,0.44
pew_work_family_priors_one_shot_housework_division,marginal:housework_division,gpt-5.5,openai,True,1.0,0.05,0.47
pew_work_family_priors_one_shot_housework_division,marginal:housework_division,anthropic/claude-opus-5,deep_infra,True,1.0,0.04,0.55
pew_work_family_priors_one_shot_housework_division,marginal:housework_division,grok-4.5,xai,True,1.0,0.11,0.47
pew_work_family_priors_one_shot_financial_decision_style,marginal:financial_decision_style,gpt-5.5,openai,True,1.0,0.02,0.76
pew_work_family_priors_one_shot_financial_decision_style,marginal:financial_decision_style,anthropic/claude-opus-5,deep_infra,True,1.0,0.03,0.74
pew_work_family_priors_one_shot_financial_decision_style,marginal:financial_decision_style,grok-4.5,xai,True,1.0,0.09,0.53
pew_work_family_priors_one_shot_career_sacrifice_rule,marginal:career_sacrifice_rule,gpt-5.5,openai,True,1.0,0.1,0.43
pew_work_family_priors_one_shot_career_sacrifice_rule,marginal:career_sacrifice_rule,anthropic/claude-opus-5,deep_infra,True,1.0,0.16,0.39
pew_work_family_priors_one_shot_career_sacrifice_rule,marginal:career_sacrifice_rule,grok-4.5,xai,True,1.0,0.15,0.35
