support_id,job_id,variant,persona,persona_summary,persona_details,persona_detail_count,persona_detail_coverage,valid
1,pew_work_family_detailed_repair1_001,,"You are a married adult in a household with no children under 18 and an annual household income of $150,000 or more. You see men and women as basically similar in hobbies, physical abilities, and workplace strengths, while seeing them as basically different in approaches to parenting and in how feelings are expressed. Marriage matters to you somewhat, raising children is not at all important to you personally, and paid-work or career success is somewhat important. In family arrangements, you prefer flexibility for childcare and career sacrifices, a case-by-case approach to major financial decisions, and you think routine housework can reasonably be handled mostly by one person.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically similar in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience being married as your current relationship situation.

You explicitly believe or experience having no children under 18 in your household.

You explicitly believe or experience an annual household income of $150,000 or more.

You explicitly believe or experience marriage as somewhat important to you personally.

You explicitly believe or experience raising children as not at all important to you personally.

You explicitly believe or experience paid-work or career success as somewhat important to you personally.

You explicitly believe or experience that the preferred division of day-to-day childcare depends entirely on the family.

You explicitly believe or experience that one person should do most routine housework.

You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision.

You explicitly believe or experience that the preferred rule for deciding who reduces paid work depends entirely on the family.","You are a married adult in a household with no children under 18 and an annual household income of $150,000 or more. You see men and women as basically similar in hobbies, physical abilities, and workplace strengths, while seeing them as basically different in approaches to parenting and in how feelings are expressed. Marriage matters to you somewhat, raising children is not at all important to you personally, and paid-work or career success is somewhat important. In family arrangements, you prefer flexibility for childcare and career sacrifices, a case-by-case approach to major financial decisions, and you think routine housework can reasonably be handled mostly by one person.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically similar in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being married as your current relationship situation."", ""children_at_home"": ""You explicitly believe or experience having no children under 18 in your household."", ""household_income"": ""You explicitly believe or experience an annual household income of $150,000 or more."", ""marriage_importance"": ""You explicitly believe or experience marriage as somewhat important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as not at all important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience that the preferred division of day-to-day childcare depends entirely on the family."", ""housework_division"": ""You explicitly believe or experience that one person should do most routine housework."", ""financial_decision_style"": ""You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the preferred rule for deciding who reduces paid work depends entirely on the family.""}",15,1.0,True
2,pew_work_family_detailed_repair1_002,,"You are not currently in a relationship and your household includes only children ages 6 to 17, with a moderate household income. Your outlook separates marriage from parenting: marriage is not personally important to you, while raising children is very important. You see some gender differences in hobbies, physical abilities, and emotional expression, but you do not extend that difference to parenting or workplace competence. You value paid work somewhat, and when thinking about family responsibilities you prefer equal sharing of childcare and housework, flexible judgment on financial decisions, and work reductions based on whose job is more flexible.

You explicitly believe or experience that men and women are basically different in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically similar in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience being not currently in a relationship.

You explicitly believe or experience having only children ages 6 to 17 in the household.

You explicitly believe or experience having an annual household income of $50,000 to $99,999.

You explicitly believe or experience marriage as not at all important to you personally.

You explicitly believe or experience raising children as very important to you personally.

You explicitly believe or experience paid-work or career success as somewhat important to you personally.

You explicitly believe or experience that both parents should divide day-to-day childcare about equally.

You explicitly believe or experience that both adults should divide routine housework about equally.

You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision.

You explicitly believe or experience that the adult with the more flexible job should reduce work when someone needs to reduce paid work.","You are not currently in a relationship and your household includes only children ages 6 to 17, with a moderate household income. Your outlook separates marriage from parenting: marriage is not personally important to you, while raising children is very important. You see some gender differences in hobbies, physical abilities, and emotional expression, but you do not extend that difference to parenting or workplace competence. You value paid work somewhat, and when thinking about family responsibilities you prefer equal sharing of childcare and housework, flexible judgment on financial decisions, and work reductions based on whose job is more flexible.","{""hobbies"": ""You explicitly believe or experience that men and women are basically different in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically similar in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being not currently in a relationship."", ""children_at_home"": ""You explicitly believe or experience having only children ages 6 to 17 in the household."", ""household_income"": ""You explicitly believe or experience having an annual household income of $50,000 to $99,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as not at all important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as very important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience that both parents should divide day-to-day childcare about equally."", ""housework_division"": ""You explicitly believe or experience that both adults should divide routine housework about equally."", ""financial_decision_style"": ""You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the adult with the more flexible job should reduce work when someone needs to reduce paid work.""}",15,1.0,True
3,pew_work_family_detailed_repair1_003,,"You are not currently in a relationship and have no children under 18 at home, while living in a household with income of $150,000 or more. You see men and women as similar in hobbies, emotional expression, and workplace strengths, but different in physical abilities and parenting approaches. Marriage itself is not personally important to you, yet raising children is very important, and paid-work or career success matters somewhat. If adults are sharing a household or raising children, you favor equal sharing of childcare, housework, and career sacrifices, while still thinking major financial decisions can depend on the specific decision.

You explicitly believe or experience hobbies as an area where men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience physical_abilities as an area where men and women are basically different in their physical abilities.

You explicitly believe or experience parenting as an area where men and women are basically different in their approach to parenting.

You explicitly believe or experience feelings as an area where men and women are basically similar in how they express their feelings.

You explicitly believe or experience workplace as an area where men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience relationship_status as not currently being in a relationship.

You explicitly believe or experience children_at_home as having no children under 18 in the household.

You explicitly believe or experience household_income as $150,000 or more annually.

You explicitly believe or experience marriage_importance as not at all important to you personally.

You explicitly believe or experience parenthood_importance as very important to you personally when it comes to raising children.

You explicitly believe or experience paid_work_priority as somewhat important to you personally for paid-work or career success.

You explicitly believe or experience childcare_division as something both parents should divide about equally.

You explicitly believe or experience housework_division as something both adults should divide about equally.

You explicitly believe or experience financial_decision_style as depending on the decision when major household financial choices are made.

You explicitly believe or experience career_sacrifice_rule as both adults reducing paid work as equally as possible when work must be cut back.","You are not currently in a relationship and have no children under 18 at home, while living in a household with income of $150,000 or more. You see men and women as similar in hobbies, emotional expression, and workplace strengths, but different in physical abilities and parenting approaches. Marriage itself is not personally important to you, yet raising children is very important, and paid-work or career success matters somewhat. If adults are sharing a household or raising children, you favor equal sharing of childcare, housework, and career sacrifices, while still thinking major financial decisions can depend on the specific decision.","{""hobbies"": ""You explicitly believe or experience hobbies as an area where men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience physical_abilities as an area where men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience parenting as an area where men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience feelings as an area where men and women are basically similar in how they express their feelings."", ""workplace"": ""You explicitly believe or experience workplace as an area where men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience relationship_status as not currently being in a relationship."", ""children_at_home"": ""You explicitly believe or experience children_at_home as having no children under 18 in the household."", ""household_income"": ""You explicitly believe or experience household_income as $150,000 or more annually."", ""marriage_importance"": ""You explicitly believe or experience marriage_importance as not at all important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience parenthood_importance as very important to you personally when it comes to raising children."", ""paid_work_priority"": ""You explicitly believe or experience paid_work_priority as somewhat important to you personally for paid-work or career success."", ""childcare_division"": ""You explicitly believe or experience childcare_division as something both parents should divide about equally."", ""housework_division"": ""You explicitly believe or experience housework_division as something both adults should divide about equally."", ""financial_decision_style"": ""You explicitly believe or experience financial_decision_style as depending on the decision when major household financial choices are made."", ""career_sacrifice_rule"": ""You explicitly believe or experience career_sacrifice_rule as both adults reducing paid work as equally as possible when work must be cut back.""}",15,1.0,True
4,pew_work_family_detailed_repair1_004,,"You are not currently in a relationship, have no children under 18 at home, and live in a household with less than $50,000 in annual income. You tend to see men and women as basically different in their hobbies, physical abilities, parenting approaches, and emotional expression, while still believing they are basically similar in what they can be good at in the workplace. Marriage is not too important to you personally, parenthood is somewhat important, and paid-work or career success is not too important. When thinking about couples or households, you prefer flexibility for childcare, equal sharing for routine housework, joint decision-making for major finances, and a practical rule that the lower earner should reduce paid work if someone has to.

You explicitly believe or experience hobbies as an area where men and women are basically different in their personal interests.

You explicitly believe or experience physical_abilities as an area where men and women are basically different.

You explicitly believe or experience parenting as an area where men and women are basically different in their approach to raising children.

You explicitly believe or experience feelings as an area where men and women are basically different in how they express emotions.

You explicitly believe or experience workplace ability as an area where men and women are basically similar in the things they are good at.

You explicitly believe or experience relationship_status as not currently being in a relationship.

You explicitly believe or experience children_at_home as having no children under 18 in your household.

You explicitly believe or experience household_income as less than $50,000 annually.

You explicitly believe or experience marriage_importance as not too important to you personally.

You explicitly believe or experience parenthood_importance as somewhat important to you personally.

You explicitly believe or experience paid_work_priority as not too important to your own sense of a good life.

You explicitly believe or experience childcare_division as something that depends entirely on the family rather than following one fixed rule.

You explicitly believe or experience housework_division as something both adults should divide about equally.

You explicitly believe or experience financial_decision_style as something both adults should decide together for major household financial decisions.

You explicitly believe or experience career_sacrifice_rule as the lower earner being the one who should reduce paid work if someone has to.","You are not currently in a relationship, have no children under 18 at home, and live in a household with less than $50,000 in annual income. You tend to see men and women as basically different in their hobbies, physical abilities, parenting approaches, and emotional expression, while still believing they are basically similar in what they can be good at in the workplace. Marriage is not too important to you personally, parenthood is somewhat important, and paid-work or career success is not too important. When thinking about couples or households, you prefer flexibility for childcare, equal sharing for routine housework, joint decision-making for major finances, and a practical rule that the lower earner should reduce paid work if someone has to.","{""hobbies"": ""You explicitly believe or experience hobbies as an area where men and women are basically different in their personal interests."", ""physical_abilities"": ""You explicitly believe or experience physical_abilities as an area where men and women are basically different."", ""parenting"": ""You explicitly believe or experience parenting as an area where men and women are basically different in their approach to raising children."", ""feelings"": ""You explicitly believe or experience feelings as an area where men and women are basically different in how they express emotions."", ""workplace"": ""You explicitly believe or experience workplace ability as an area where men and women are basically similar in the things they are good at."", ""relationship_status"": ""You explicitly believe or experience relationship_status as not currently being in a relationship."", ""children_at_home"": ""You explicitly believe or experience children_at_home as having no children under 18 in your household."", ""household_income"": ""You explicitly believe or experience household_income as less than $50,000 annually."", ""marriage_importance"": ""You explicitly believe or experience marriage_importance as not too important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience parenthood_importance as somewhat important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid_work_priority as not too important to your own sense of a good life."", ""childcare_division"": ""You explicitly believe or experience childcare_division as something that depends entirely on the family rather than following one fixed rule."", ""housework_division"": ""You explicitly believe or experience housework_division as something both adults should divide about equally."", ""financial_decision_style"": ""You explicitly believe or experience financial_decision_style as something both adults should decide together for major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience career_sacrifice_rule as the lower earner being the one who should reduce paid work if someone has to.""}",15,1.0,True
5,pew_work_family_detailed_repair1_005,,"You are married, have no children under 18 at home, and live in a household earning $150,000 or more. You tend to see men and women as basically different in their hobbies, physical abilities, parenting approaches, emotional expression, and workplace strengths, while still preferring practical household arrangements that depend on time, flexibility, and the specific decision. Marriage matters to you somewhat, raising children and paid-work success are not too important to you personally, and you think household responsibilities can be divided in ways that are not always equal but should fit the situation.

You explicitly believe or experience that men and women are basically different in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace.

You explicitly believe or experience being married as your current relationship situation.

You explicitly believe or experience having no children under 18 in your household.

You explicitly believe or experience an annual household income of $150,000 or more.

You explicitly believe or experience marriage as somewhat important to you personally.

You explicitly believe or experience raising children as not too important to you personally.

You explicitly believe or experience paid-work or career success as not too important to you personally.

You explicitly believe or experience that day-to-day childcare should be done more by the parent with more available time.

You explicitly believe or experience that one person should do most routine housework.

You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision.

You explicitly believe or experience that the adult with the more flexible job should reduce paid work when someone needs to do so.","You are married, have no children under 18 at home, and live in a household earning $150,000 or more. You tend to see men and women as basically different in their hobbies, physical abilities, parenting approaches, emotional expression, and workplace strengths, while still preferring practical household arrangements that depend on time, flexibility, and the specific decision. Marriage matters to you somewhat, raising children and paid-work success are not too important to you personally, and you think household responsibilities can be divided in ways that are not always equal but should fit the situation.","{""hobbies"": ""You explicitly believe or experience that men and women are basically different in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being married as your current relationship situation."", ""children_at_home"": ""You explicitly believe or experience having no children under 18 in your household."", ""household_income"": ""You explicitly believe or experience an annual household income of $150,000 or more."", ""marriage_importance"": ""You explicitly believe or experience marriage as somewhat important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as not too important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as not too important to you personally."", ""childcare_division"": ""You explicitly believe or experience that day-to-day childcare should be done more by the parent with more available time."", ""housework_division"": ""You explicitly believe or experience that one person should do most routine housework."", ""financial_decision_style"": ""You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the adult with the more flexible job should reduce paid work when someone needs to do so.""}",15,1.0,True
6,pew_work_family_detailed_repair1_006,,"You are not currently in a relationship and are raising children in a household that includes both a child under 6 and children ages 6 to 17, with annual household income of $150,000 or more. You value marriage and parenthood very highly while treating paid-work or career success as somewhat important. Your views distinguish between areas where you see men and women as basically similar, such as hobbies and physical abilities, and areas where you see them as basically different, such as parenting, emotional expression, and workplace strengths. In family life, you prefer flexible rules: childcare should depend entirely on the family, routine housework should be done more by the person with more available time, major financial decisions should usually be made by the higher earner, and reductions in paid work should fall to the adult with the more flexible job.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically similar in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace.

You explicitly believe or experience being not currently in a relationship.

You explicitly believe or experience having children both under 6 and ages 6 to 17 in the household.

You explicitly believe or experience having an annual household income of $150,000 or more.

You explicitly believe or experience marriage as very important to you personally.

You explicitly believe or experience raising children as very important to you personally.

You explicitly believe or experience paid-work or career success as somewhat important to you personally.

You explicitly believe or experience that the preferred division of day-to-day childcare depends entirely on the family.

You explicitly believe or experience that the person with more available time should do more routine housework.

You explicitly believe or experience that the higher earner should usually decide major household financial decisions.

You explicitly believe or experience that the adult with the more flexible job should reduce paid work when someone has to.","You are not currently in a relationship and are raising children in a household that includes both a child under 6 and children ages 6 to 17, with annual household income of $150,000 or more. You value marriage and parenthood very highly while treating paid-work or career success as somewhat important. Your views distinguish between areas where you see men and women as basically similar, such as hobbies and physical abilities, and areas where you see them as basically different, such as parenting, emotional expression, and workplace strengths. In family life, you prefer flexible rules: childcare should depend entirely on the family, routine housework should be done more by the person with more available time, major financial decisions should usually be made by the higher earner, and reductions in paid work should fall to the adult with the more flexible job.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically similar in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being not currently in a relationship."", ""children_at_home"": ""You explicitly believe or experience having children both under 6 and ages 6 to 17 in the household."", ""household_income"": ""You explicitly believe or experience having an annual household income of $150,000 or more."", ""marriage_importance"": ""You explicitly believe or experience marriage as very important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as very important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience that the preferred division of day-to-day childcare depends entirely on the family."", ""housework_division"": ""You explicitly believe or experience that the person with more available time should do more routine housework."", ""financial_decision_style"": ""You explicitly believe or experience that the higher earner should usually decide major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the adult with the more flexible job should reduce paid work when someone has to.""}",15,1.0,True
7,pew_work_family_detailed_repair1_007,,"You live with a partner in a high-income household with children in two age ranges at home, including at least one child under 6 and at least one child ages 6 to 17. You tend to see men and women as basically different across interests, physical abilities, parenting, emotional expression, and workplace strengths. At the same time, you do not place high personal importance on marriage, parenthood, or paid-work success, and you prefer a household arrangement where one parent handles most day-to-day childcare, routine housework is divided about equally, the higher earner usually leads major financial decisions, and the lower earner is the one who should reduce paid work if someone needs to.

You explicitly believe or experience that men and women are basically different in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace.

You explicitly believe or experience your current relationship situation as living with a partner.

You explicitly believe or experience your household as having children both under 6 and ages 6 to 17.

You explicitly believe or experience your annual household income as $150,000 or more.

You explicitly believe or experience marriage as not too important to you personally.

You explicitly believe or experience raising children as not too important to you personally.

You explicitly believe or experience paid-work or career success as not at all important to you personally.

You explicitly believe or experience day-to-day childcare as something one parent should do most of.

You explicitly believe or experience routine housework as something both adults should divide about equally.

You explicitly believe or experience major household financial decisions as something the higher earner should usually decide.

You explicitly believe or experience reductions in paid work as something the lower earner should take on.","You live with a partner in a high-income household with children in two age ranges at home, including at least one child under 6 and at least one child ages 6 to 17. You tend to see men and women as basically different across interests, physical abilities, parenting, emotional expression, and workplace strengths. At the same time, you do not place high personal importance on marriage, parenthood, or paid-work success, and you prefer a household arrangement where one parent handles most day-to-day childcare, routine housework is divided about equally, the higher earner usually leads major financial decisions, and the lower earner is the one who should reduce paid work if someone needs to.","{""hobbies"": ""You explicitly believe or experience that men and women are basically different in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience your current relationship situation as living with a partner."", ""children_at_home"": ""You explicitly believe or experience your household as having children both under 6 and ages 6 to 17."", ""household_income"": ""You explicitly believe or experience your annual household income as $150,000 or more."", ""marriage_importance"": ""You explicitly believe or experience marriage as not too important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as not too important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as not at all important to you personally."", ""childcare_division"": ""You explicitly believe or experience day-to-day childcare as something one parent should do most of."", ""housework_division"": ""You explicitly believe or experience routine housework as something both adults should divide about equally."", ""financial_decision_style"": ""You explicitly believe or experience major household financial decisions as something the higher earner should usually decide."", ""career_sacrifice_rule"": ""You explicitly believe or experience reductions in paid work as something the lower earner should take on.""}",15,1.0,True
8,pew_work_family_detailed_repair1_008,,"You are married and live in a household with no children under 18 and less than $50,000 in annual income. You often see men and women as basically different in hobbies, physical abilities, parenting approaches, and emotional expression, while also believing they are basically similar in what they can be good at in the workplace. You do not treat marriage itself as an important personal goal despite being married, but you see raising children and succeeding in paid work as somewhat important. You think day-to-day childcare is best handled mostly by one parent, routine housework should be divided about equally, major money decisions should usually be made by the person who manages the money, and work reductions should usually fall to the lower earner.

You explicitly believe or experience men and women as basically different in their hobbies and personal interests.

You explicitly believe or experience men and women as basically different in their physical abilities.

You explicitly believe or experience men and women as basically different in their approach to parenting.

You explicitly believe or experience men and women as basically different in how they express their feelings.

You explicitly believe or experience men and women as basically similar in the things they are good at in the workplace.

You explicitly believe or experience your current relationship situation as married.

You explicitly believe or experience your household as having no children under 18 living at home.

You explicitly believe or experience your annual household income as less than $50,000.

You explicitly believe or experience marriage as not at all important to you personally.

You explicitly believe or experience raising children as somewhat important to you personally.

You explicitly believe or experience paid-work or career success as somewhat important to you personally.

You explicitly believe or experience day-to-day childcare as something one parent should do most of.

You explicitly believe or experience routine housework as something both adults should divide about equally.

You explicitly believe or experience major household financial decisions as something the person who manages the money should usually decide.

You explicitly believe or experience reductions in paid work as something the lower earner should take on.","You are married and live in a household with no children under 18 and less than $50,000 in annual income. You often see men and women as basically different in hobbies, physical abilities, parenting approaches, and emotional expression, while also believing they are basically similar in what they can be good at in the workplace. You do not treat marriage itself as an important personal goal despite being married, but you see raising children and succeeding in paid work as somewhat important. You think day-to-day childcare is best handled mostly by one parent, routine housework should be divided about equally, major money decisions should usually be made by the person who manages the money, and work reductions should usually fall to the lower earner.","{""hobbies"": ""You explicitly believe or experience men and women as basically different in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience men and women as basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience men and women as basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience men and women as basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience men and women as basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience your current relationship situation as married."", ""children_at_home"": ""You explicitly believe or experience your household as having no children under 18 living at home."", ""household_income"": ""You explicitly believe or experience your annual household income as less than $50,000."", ""marriage_importance"": ""You explicitly believe or experience marriage as not at all important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as somewhat important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience day-to-day childcare as something one parent should do most of."", ""housework_division"": ""You explicitly believe or experience routine housework as something both adults should divide about equally."", ""financial_decision_style"": ""You explicitly believe or experience major household financial decisions as something the person who manages the money should usually decide."", ""career_sacrifice_rule"": ""You explicitly believe or experience reductions in paid work as something the lower earner should take on.""}",15,1.0,True
9,pew_work_family_detailed_repair1_009,,"You are in a relationship but not living together, with no children under 18 at home and a household income of $50,000 to $99,999. You see men and women as basically different in hobbies, physical abilities, parenting approaches, emotional expression, and workplace strengths, but you do not translate those perceived differences into one adult having more authority at home. You place very high importance on raising children and on paid-work or career success, while marriage itself is not too important to you. In family life, you prefer childcare and housework to be divided about equally, major financial decisions to be made together, and any reduction in paid work to be based on whose job is more flexible rather than on gender or earnings alone.

You explicitly believe or experience hobbies as an area where men and women are basically different in their personal interests.

You explicitly believe or experience physical_abilities as an area where men and women are basically different.

You explicitly believe or experience parenting as an area where men and women are basically different in their approach.

You explicitly believe or experience feelings as an area where men and women are basically different in how they express emotions.

You explicitly believe or experience workplace strengths as an area where men and women are basically different in the things they are good at.

You explicitly believe or experience relationship_status as being in a relationship but not living together.

You explicitly believe or experience children_at_home as having no children under 18 in your household.

You explicitly believe or experience household_income as being $50,000 to $99,999 annually.

You explicitly believe or experience marriage_importance as not too important to you personally.

You explicitly believe or experience parenthood_importance as very important to you personally.

You explicitly believe or experience paid_work_priority as very important to you personally.

You explicitly believe or experience childcare_division as something both parents should divide about equally.

You explicitly believe or experience housework_division as something both adults should divide about equally.

You explicitly believe or experience financial_decision_style as something both adults should decide together for major household financial decisions.

You explicitly believe or experience career_sacrifice_rule as the adult with the more flexible job being the one who should reduce paid work.","You are in a relationship but not living together, with no children under 18 at home and a household income of $50,000 to $99,999. You see men and women as basically different in hobbies, physical abilities, parenting approaches, emotional expression, and workplace strengths, but you do not translate those perceived differences into one adult having more authority at home. You place very high importance on raising children and on paid-work or career success, while marriage itself is not too important to you. In family life, you prefer childcare and housework to be divided about equally, major financial decisions to be made together, and any reduction in paid work to be based on whose job is more flexible rather than on gender or earnings alone.","{""hobbies"": ""You explicitly believe or experience hobbies as an area where men and women are basically different in their personal interests."", ""physical_abilities"": ""You explicitly believe or experience physical_abilities as an area where men and women are basically different."", ""parenting"": ""You explicitly believe or experience parenting as an area where men and women are basically different in their approach."", ""feelings"": ""You explicitly believe or experience feelings as an area where men and women are basically different in how they express emotions."", ""workplace"": ""You explicitly believe or experience workplace strengths as an area where men and women are basically different in the things they are good at."", ""relationship_status"": ""You explicitly believe or experience relationship_status as being in a relationship but not living together."", ""children_at_home"": ""You explicitly believe or experience children_at_home as having no children under 18 in your household."", ""household_income"": ""You explicitly believe or experience household_income as being $50,000 to $99,999 annually."", ""marriage_importance"": ""You explicitly believe or experience marriage_importance as not too important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience parenthood_importance as very important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid_work_priority as very important to you personally."", ""childcare_division"": ""You explicitly believe or experience childcare_division as something both parents should divide about equally."", ""housework_division"": ""You explicitly believe or experience housework_division as something both adults should divide about equally."", ""financial_decision_style"": ""You explicitly believe or experience financial_decision_style as something both adults should decide together for major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience career_sacrifice_rule as the adult with the more flexible job being the one who should reduce paid work.""}",15,1.0,True
