item,option,covered,support_rows
social_media_hours,Less than one hour,True,43
social_media_hours,One to three hours,True,43
social_media_hours,Four or more hours,True,42
posting_frequency,Never or almost never,True,26
posting_frequency,Less than once a week,True,33
posting_frequency,A few times a week,True,41
posting_frequency,At least once a day,True,28
late_night_use,Never,True,32
late_night_use,Rarely,True,32
late_night_use,Sometimes,True,32
late_night_use,Often,True,32
sleep_interference,Never,True,12
sleep_interference,Rarely,True,27
sleep_interference,Sometimes,True,52
sleep_interference,Often,True,37
social_comparison,Never,True,19
social_comparison,Rarely,True,37
social_comparison,Sometimes,True,51
social_comparison,Often,True,21
connection_effect,Makes me feel less connected,True,43
connection_effect,Makes little difference,True,43
connection_effect,Makes me feel more connected,True,42
parental_rules,No rules,True,32
parental_rules,A few loose rules,True,32
parental_rules,Some clear rules,True,32
parental_rules,Very strict rules,True,32
primary_platform,TikTok,True,22
primary_platform,Instagram,True,22
primary_platform,YouTube,True,21
primary_platform,Snapchat,True,21
primary_platform,Another platform,True,21
primary_platform,I do not use social media,True,21
school_effort,Never,True,4
school_effort,Rarely,True,13
school_effort,Sometimes,True,46
school_effort,Often,True,65
academic_confidence,Not at all confident,True,4
academic_confidence,A little confident,True,13
academic_confidence,Somewhat confident,True,44
academic_confidence,Very confident,True,67
homework_distraction,Never,True,32
homework_distraction,Rarely,True,32
homework_distraction,Sometimes,True,32
homework_distraction,Often,True,32
organized_activity,Never,True,32
organized_activity,Less than once a week,True,32
organized_activity,One or two days a week,True,32
organized_activity,Three or more days a week,True,32
career_clarity,No clear idea,True,19
career_clarity,A few vague ideas,True,48
career_clarity,A fairly clear idea,True,42
career_clarity,A very clear plan,True,19
future_optimism,Not at all optimistic,True,32
future_optimism,A little optimistic,True,32
future_optimism,Somewhat optimistic,True,32
future_optimism,Very optimistic,True,32
peer_belonging,Never,True,8
peer_belonging,Rarely,True,21
peer_belonging,Sometimes,True,53
peer_belonging,Often,True,46
