support_id,job_id,design_type,reason,coverage_item,coverage_option,intensity,coherence,pattern,profile
1,teen_social_big_support_001,option_coverage,cover social_media_hours = Less than one hour,social_media_hours,Less than one hour,moderate,item_specific,{},
2,teen_social_big_support_002,option_coverage,cover social_media_hours = One to three hours,social_media_hours,One to three hours,strong,item_specific,{},
3,teen_social_big_support_003,option_coverage,cover social_media_hours = Four or more hours,social_media_hours,Four or more hours,moderate,item_specific,{},
4,teen_social_big_support_004,option_coverage,cover posting_frequency = Never or almost never,posting_frequency,Never or almost never,strong,item_specific,{},
5,teen_social_big_support_005,option_coverage,cover posting_frequency = Less than once a week,posting_frequency,Less than once a week,moderate,item_specific,{},
6,teen_social_big_support_006,option_coverage,cover posting_frequency = A few times a week,posting_frequency,A few times a week,strong,item_specific,{},
7,teen_social_big_support_007,option_coverage,cover posting_frequency = At least once a day,posting_frequency,At least once a day,moderate,item_specific,{},
8,teen_social_big_support_008,option_coverage,cover late_night_use = Never,late_night_use,Never,strong,item_specific,{},
9,teen_social_big_support_009,option_coverage,cover late_night_use = Rarely,late_night_use,Rarely,moderate,item_specific,{},
10,teen_social_big_support_010,option_coverage,cover late_night_use = Sometimes,late_night_use,Sometimes,strong,item_specific,{},
11,teen_social_big_support_011,option_coverage,cover late_night_use = Often,late_night_use,Often,moderate,item_specific,{},
12,teen_social_big_support_012,option_coverage,cover sleep_interference = Never,sleep_interference,Never,strong,item_specific,{},
13,teen_social_big_support_013,option_coverage,cover sleep_interference = Rarely,sleep_interference,Rarely,moderate,item_specific,{},
14,teen_social_big_support_014,option_coverage,cover sleep_interference = Sometimes,sleep_interference,Sometimes,strong,item_specific,{},
15,teen_social_big_support_015,option_coverage,cover sleep_interference = Often,sleep_interference,Often,moderate,item_specific,{},
16,teen_social_big_support_016,option_coverage,cover social_comparison = Never,social_comparison,Never,strong,item_specific,{},
17,teen_social_big_support_017,option_coverage,cover social_comparison = Rarely,social_comparison,Rarely,moderate,item_specific,{},
18,teen_social_big_support_018,option_coverage,cover social_comparison = Sometimes,social_comparison,Sometimes,strong,item_specific,{},
