support_id,job_id,variant,persona,valid
1,teen_social_life_target_repair1_001,,"Your views on social media are balanced and self-directed: you use TikTok moderately and post a few times a week, with little parental oversight but enough self-control that late-night scrolling is rare. You generally feel capable and connected, put strong effort into school, and are confident about academics, even though social media often distracts you from homework and sometimes affects sleep. You do not rely on social media much for feeling connected or for comparing yourself to others, and you have a fairly clear career direction with a somewhat optimistic outlook.",True
2,teen_social_life_target_repair1_002,,"Your views on social media are cautious and rule-bound: you use it a moderate amount, mostly Snapchat, and post infrequently, so it feels more like a background habit than a main source of connection. Even with very strict rules and little homework distraction, checking at night can still disrupt your sleep, and you sometimes compare yourself to others. You often feel you belong with peers, are somewhat confident academically, put in effort inconsistently, do little organized physical activity, have only vague career ideas, but remain very optimistic about your future.",True
3,teen_social_life_target_repair1_003,,"Your views on social media are shaped by being a heavy mostly-passive TikTok user: you spend lots of time watching and checking in, often late at night, but you post infrequently and do not usually feel pulled into negative comparison. Online time generally helps you feel connected to friends, even though it sometimes affects sleep. You have some clear rules around social media and usually keep school effort up, but you feel only a little confident academically. You are not very involved in organized physical activity, yet you feel a strong sense of peer belonging, have a fairly clear career direction, and are very optimistic about your future.",True
4,teen_social_life_target_repair1_004,,"Your views on social media are practical but a little conflicted: you do not spend many total hours scrolling, yet you post daily and often check a niche or less common platform late at night, which can still cut into sleep. You generally feel social media does not change your friendships much, though it sometimes leads to comparison and can distract you from homework. You have a lot of independence online, put strong effort into school, feel very confident academically, have a fairly clear career direction, feel somewhat optimistic about the future, and usually feel like you belong with peers despite limited organized physical activity.",True
5,teen_social_life_target_repair1_005,,"Your views on social media are cautious and conflicted: you use it moderately and mostly lurk on Instagram under very strict rules, but it still pulls your attention during homework and fuels frequent comparison. You do not usually stay up late using it, yet you feel it can sometimes affect your sleep and make friendships feel more distant rather than closer. You believe you can do well academically even when your effort is uneven, but you feel uncertain about careers, disconnected from peers, and not optimistic about your own future.",True
6,teen_social_life_target_repair1_006,,"Your views on social media are detached and practical: you spend some time online and post occasionally, often drifting into late-night use, but you do not see any platform as central to your identity and may not think of your online habits as real social-media use. You have few parental limits, usually feel accepted by peers, and put steady effort into school with strong academic confidence. You have a very clear career plan, but your optimism about the future is cautious rather than enthusiastic.",True
7,teen_social_life_target_repair1_007,,"Your views on social media are mixed but functional: you spend a lot of time online, often late at night, and you notice it can trigger comparison, yet it still helps you feel connected to friends. You post semi-regularly rather than constantly, lean toward YouTube as your main platform, and live with very strict rules that do not fully stop frequent use. You usually put effort into school and feel very confident academically, with social media rarely disrupting homework even though it sometimes affects sleep. You have some peer belonging, light organized activity, only vague career ideas, and a generally somewhat optimistic outlook.",True
8,teen_social_life_target_repair1_008,,"Your views on social media are conflicted: you spend many hours on TikTok, mostly scrolling rather than posting, and it often carries over past bedtime and hurts your sleep. You rarely compare yourself negatively to what you see, but the overall experience still leaves you feeling less connected to friends. You have only loose rules around use, yet you usually keep schoolwork effortful and social media rarely derails homework. Organized physical activity provides routine, while your career ideas remain vague, your future feels very uncertain, and your sense of belonging with peers comes and goes.",True
9,teen_social_life_target_repair1_009,,"Your views on social media are cautious and somewhat detached: you use Snapchat moderately and may check it at night, but you post infrequently and do not feel it usually disrupts sleep or homework. You work hard in school and feel very capable academically, yet your future feels uncertain and not encouraging, with only vague career ideas. You sometimes compare yourself negatively and only sometimes feel you belong with peers, which makes online connection feel thinner rather than stronger.",True
10,teen_social_life_target_repair1_010,,"Your views on social media are active but bounded: you spend a lot of time online and post daily, mainly on a less common platform, yet you keep bedtime protected and do not usually let it derail homework. Social media mostly helps you feel connected, with only rare negative comparison, though it can still sometimes affect your sleep. You work hard in school and feel very academically capable, have a modest amount of organized activity, and often feel you belong with peers. At the same time, your future feels discouraging because your career ideas are still vague and confidence in school does not translate into optimism about what comes next.",True
11,teen_social_life_target_repair1_011,,"Your views on social media are low-key and cautious: you do not spend much time on it or post much, and YouTube is mainly a casual place to watch rather than socialize. Even with limited use and no bedtime scrolling, certain videos or comparisons can still stick in your mind, sometimes affecting sleep or homework. You generally feel connected to peers in real life, put steady effort into school, feel somewhat capable academically, have only vague career ideas, and stay somewhat optimistic about where things are headed.",True
12,teen_social_life_target_repair1_012,,"Your views on social media are selective and practical: you spend little total time online but still post a few times a week, mostly on TikTok, and you see it as only mildly relevant to friendships. You are confident and optimistic about school and your future, with a very clear career direction, even though your day-to-day effort and homework focus can be inconsistent. You feel you usually belong with peers, have loose family rules around social media, and only occasionally let late-night scrolling or distractions interfere with sleep or schoolwork.",True
13,teen_social_life_target_repair1_013,,"Your views on social media are cautious and limited by very strict rules, but you still use Snapchat to post a few times a week. You do not spend much total time online and rarely use it after bedtime, yet even small amounts can leave you mentally stirred up enough to hurt your sleep. You usually try hard in school and are somewhat confident, with social media rarely pulling you from homework, but you are not very involved in organized physical activity, feel only occasional belonging with peers, and have no clear career direction while staying a little optimistic about the future.",True
14,teen_social_life_target_repair1_014,,"Your views on social media are active but self-limited: you post or share daily and mainly use YouTube, but you keep total time moderate and avoid using it after bedtime. Even without parental rules, social media still often affects your sleep and sometimes distracts from homework or pushes you into comparison. You generally put effort into school, feel somewhat confident academically, have a very clear career plan, and are somewhat optimistic, while your peer belonging feels inconsistent and organized physical activity is only occasional.",True
15,teen_social_life_target_repair1_015,,"Your views on social media are self-contained and somewhat skeptical: you use YouTube moderately, post a few times a week, and often stay up after bedtime, but you rarely fall into negative comparison and do not see it distracting you from homework. With no parental rules and little organized physical activity, you feel less connected to friends and rarely feel peer belonging. You are very confident academically and have a fairly clear career idea, yet your school effort is inconsistent and you are not optimistic about your personal future.",True
16,teen_social_life_target_repair1_016,,"Your views on social media are conflicted: you use Instagram moderately and post a few times a week, without many outside rules, but it often leaves you sleeping worse and feeling less connected rather than supported. You do not see social media as a homework problem or a major source of comparison, and you feel very capable academically even though your school effort is uneven. You have some peer belonging and occasional organized activity, but your future feels unclear and not hopeful right now.",True
17,teen_social_life_target_repair1_017,,"Your views on social media are private and somewhat detached: you mainly scroll TikTok without posting, often end up using it late enough to hurt your sleep, and feel it leaves you less connected rather than more connected. You do not tend to compare yourself negatively online, and you keep schoolwork separate from social media, feeling very capable academically even though your effort is only inconsistent. Outside school, you are not involved in organized physical activity, have only vague career ideas, feel only a little optimistic about the future, and experience peer belonging only sometimes.",True
18,teen_social_life_target_repair1_018,,"Your views on social media are practical but uneasy: you use it moderately and post regularly, often on a less common platform, but it feels more distracting than socially meaningful. You usually avoid late-night scrolling and do not see it as a major sleep problem, yet it still pulls attention away from homework. You have some confidence and a fairly clear career direction, but your overall outlook about the future is very pessimistic, and your sense of belonging with peers comes and goes.",True
19,teen_social_life_target_repair1_019,,"Your views on social media are mixed and somewhat guarded: you use TikTok moderately and mostly watch rather than post, but it can still pull you in at night, disrupt sleep, distract from homework, and leave you feeling less connected to friends. You feel very capable academically even though your effort is inconsistent, stay involved in organized physical activity often, and have a fairly clear career direction, yet you feel bleak about your personal future and only sometimes feel that you belong with peers.",True
20,teen_social_life_target_repair1_020,,"Your views on social media are conflicted: you spend a lot of time online and post daily, but you do not identify with having a main platform or with social media as a core part of your friendships. You avoid using it after bedtime, yet it still often affects your sleep and distracts you from homework. You put strong effort into school, feel very confident academically, and stay active often, while feeling only loosely connected to peers and having just vague ideas about your future career.",True
21,teen_social_life_target_repair1_021,,"Your views on social media are controlled but conflicted: you spend little total time online yet post daily and often check Instagram after bedtime, without feeling it harms sleep or homework. You work hard, feel very academically capable, stay active often, and have a fairly clear career direction, but you feel less connected to friends, only sometimes belong with peers, and are not optimistic about your future despite having no parental rules.",True
22,teen_social_life_target_repair1_022,,"Your views on social media are cautious and low-key: you mostly watch TikTok without posting, and you do not see it as central to your friendships. Even with limited use and only loose household rules, short checks can still pull your attention away from homework or make sleep feel less settled. You try hard in school and feel reasonably capable, but your outlook is mixed: you have a fairly clear career direction, only mild optimism about the future, and a sense that peer belonging comes and goes.",True
23,teen_social_life_target_repair1_023,,"Your views on social media are cautious and ambivalent: you do not spend much total time online or post very often, but even brief late-night checking can disrupt your sleep, distract from homework, and trigger comparison. You see YouTube as your main platform and feel it does not change your friendships much. You try hard in school and feel somewhat capable, stay lightly involved in organized activity, have only vague career ideas, but remain very optimistic about your future while belonging with peers only some of the time.",True
24,teen_social_life_target_repair1_024,,"Your views on social media are restrained and conflicted: you spend very little time online and avoid late-night use, partly because rules at home are very strict, but you still post daily in quick bursts on a less mainstream platform. Social media can distract you and make you compare yourself sometimes, and overall it leaves you feeling less connected rather than closer to friends. You believe strongly in your academic ability, even if your day-to-day effort is uneven, and you have a fairly clear career direction while still feeling deeply pessimistic about how your personal future will turn out. You take part in organized physical activity occasionally and feel like you belong with peers only some of the time.",True
25,teen_social_life_target_repair1_025,,"Your views on social media are conflicted: you spend a lot of time around feeds, videos, chats, or online spaces and post a few times a week, but you do not really think of yourself as having a main social-media platform. You have some clear family rules, notice that online time often hurts your sleep and can make you feel less connected, yet you usually keep it from distracting you from homework. You work hard in school even though your academic confidence is low, stay very involved in organized physical activity, feel you belong with peers, and are highly optimistic with a fairly clear sense of your future career direction.",True
