job_id,support_id,weight,item,sampled_option_index,sampled_first_token,sampled_token_probability,code_0_probability_raw,code_1_probability_raw,code_0_probability_conditional,both_codes_observed,sampled_lower_probability_code,original_elicited_probability_0
pew_w154_diff1_uniform_n96_095,95,0.101779996682103,hobbies,1,1,1.0,,1.0,0.0,False,False,0.05
pew_w154_diff1_uniform_n96_031,31,0.088167945396506,hobbies,1,1,1.0,,1.0,0.0,False,False,0.07
pew_w154_diff1_uniform_n96_063,63,0.0759309672984288,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_096,96,0.0691542375736115,hobbies,1,1,1.0,,1.0,0.0,False,False,0.04
pew_w154_diff1_uniform_n96_064,64,0.0681844328529047,hobbies,1,1,1.0,,1.0,0.0,False,False,0.04
pew_w154_diff1_uniform_n96_032,32,0.0495090867146367,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_015,15,0.0338464551885426,hobbies,0,0,1.0,1.0,9.955191499971554e-18,1.0,True,False,0.86
pew_w154_diff1_uniform_n96_047,47,0.0321448003630649,hobbies,0,0,1.0,1.0,3.1325399900783437e-18,1.0,True,False,0.82
pew_w154_diff1_uniform_n96_079,79,0.0302408941751202,hobbies,0,0,1.0,1.0,1.6542067369468632e-17,1.0,True,False,0.82
pew_w154_diff1_uniform_n96_060,60,0.0264616432810531,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_048,48,0.0251677917071135,hobbies,0,0,1.0,1.0,1.8310399440786166e-17,1.0,True,False,0.86
pew_w154_diff1_uniform_n96_016,16,0.0207836823703215,hobbies,0,0,1.0,1.0,4.215293300184553e-18,1.0,True,False,0.86
pew_w154_diff1_uniform_n96_080,80,0.0196765825424098,hobbies,0,0,1.0,1.0,3.289782920201685e-17,1.0,True,False,0.82
pew_w154_diff1_uniform_n96_027,27,0.0192173996728194,hobbies,1,1,1.0,,1.0,0.0,False,False,0.12
pew_w154_diff1_uniform_n96_028,28,0.0188153740264634,hobbies,1,1,1.0,,1.0,0.0,False,False,0.12
pew_w154_diff1_uniform_n96_043,43,0.0187801428207103,hobbies,0,0,1.0,1.0,9.116211088013184e-19,1.0,True,False,0.89
pew_w154_diff1_uniform_n96_055,55,0.014395222230593,hobbies,1,1,1.0,,1.0,0.0,False,False,0.12
pew_w154_diff1_uniform_n96_087,87,0.0133646556052807,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_023,23,0.0115847666722954,hobbies,1,1,1.0,,1.0,0.0,False,False,0.14
pew_w154_diff1_uniform_n96_092,92,0.011328203034038,hobbies,1,1,1.0,,1.0,0.0,False,False,0.18
pew_w154_diff1_uniform_n96_059,59,0.0111531188915796,hobbies,1,1,1.0,,1.0,0.0,False,False,0.18
pew_w154_diff1_uniform_n96_011,11,0.0111352775300837,hobbies,0,0,1.0,1.0,1.889163391170638e-17,1.0,True,False,0.86
pew_w154_diff1_uniform_n96_056,56,0.0111308618884015,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_091,91,0.0106699792171772,hobbies,1,1,1.0,,1.0,0.0,False,False,0.18
pew_w154_diff1_uniform_n96_044,44,0.008850369560381,hobbies,0,0,1.0,1.0,2.5567046262431804e-18,1.0,True,False,0.87
pew_w154_diff1_uniform_n96_012,12,0.0087307126454244,hobbies,0,0,1.0,1.0,1.885195773057152e-18,1.0,True,False,0.86
pew_w154_diff1_uniform_n96_019,19,0.0081571308820804,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_076,76,0.0074029290592638,hobbies,0,0,1.0,1.0,2.7215979077255225e-18,1.0,True,False,0.86
pew_w154_diff1_uniform_n96_088,88,0.0073862926575153,hobbies,1,1,1.0,,1.0,0.0,False,False,0.13
pew_w154_diff1_uniform_n96_039,39,0.0061570582094718,hobbies,0,0,1.0,1.0,8.125190498358969e-18,1.0,True,False,0.82
pew_w154_diff1_uniform_n96_083,83,0.0060543409387863,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_008,8,0.0058918577894763,hobbies,0,0,1.0,1.0,9.064305010246543e-18,1.0,True,False,0.86
pew_w154_diff1_uniform_n96_071,71,0.0056991318413578,hobbies,0,0,1.0,1.0,2.770274965784119e-17,1.0,True,False,0.84
pew_w154_diff1_uniform_n96_024,24,0.0054992774236426,hobbies,1,1,1.0,2.622843621438517e-17,1.0,2.622843621438517e-17,True,False,0.18
pew_w154_diff1_uniform_n96_007,7,0.0054886115649582,hobbies,0,0,1.0,1.0,4.0856023596043366e-18,1.0,True,False,0.82
pew_w154_diff1_uniform_n96_051,51,0.005487607358273,hobbies,1,1,1.0,,1.0,0.0,False,False,0.12
pew_w154_diff1_uniform_repair_r1_156,156,0.0054100390412683,hobbies,0,0,1.0,1.0,2.1329935059238852e-15,0.9999999999999978,True,False,0.62
pew_w154_diff1_uniform_n96_084,84,0.0050222466151663,hobbies,1,1,1.0,,1.0,0.0,False,False,0.12
pew_w154_diff1_uniform_n96_040,40,0.0047330916148842,hobbies,0,0,1.0,1.0,1.80265230095998e-17,1.0,True,False,0.86
pew_w154_diff1_uniform_n96_072,72,0.0046161984956349,hobbies,0,0,1.0,1.0,1.0619549350764227e-16,1.0,True,False,0.78
pew_w154_diff1_uniform_n96_003,3,0.0046073054481784,hobbies,0,0,1.0,1.0,,1.0,False,False,0.88
pew_w154_diff1_uniform_n96_020,20,0.0044265090362231,hobbies,1,1,1.0,,1.0,0.0,False,False,0.08
pew_w154_diff1_uniform_n96_035,35,0.0043118268794046,hobbies,0,0,1.0,1.0,,1.0,False,False,0.91
pew_w154_diff1_uniform_n96_075,75,0.0042496392574908,hobbies,0,0,1.0,1.0,1.9798262352860568e-17,1.0,True,False,0.75
