support_id,job_id,variant,persona,valid
1,pew_w154_diff1_uniform_repair_r2_161,,"Your views see men and women as shaped by different social roles and interests in everyday life, parenting, and workplace strengths, while recognizing that physical capacity and emotional expression overlap substantially across individuals.",True
2,pew_w154_diff1_uniform_repair_r2_162,,"Your views see many everyday differences as shaped by social norms and interests rather than broad capability. You think men and women often gravitate toward different hobbies and may develop different workplace strengths, while seeing physical capacity, parenting, and emotional expression as more overlapping than distinct.",True
3,pew_w154_diff1_uniform_repair_r2_163,,"Your views see men and women as sharing many individual interests and workplace talents, while still believing that embodied differences and socialized roles often lead to different physical capabilities, parenting styles, and ways of expressing emotions.",True
4,pew_w154_diff1_uniform_repair_r2_164,,"Your views are that men and women are often drawn to different interests and styles of emotional expression, with some gendered patterns in workplace strengths, while being broadly alike in core physical capacity and approaches to caring for children.",True
5,pew_w154_diff1_uniform_repair_r2_165,,"Your views see gendered social expectations as still shaping hobbies and parenting styles, while you think men and women largely overlap in physical capability, emotional expression, and workplace strengths.",True
6,pew_w154_diff1_uniform_repair_r2_166,,"Your views see many gender differences as shaped by social roles, expectations, and experience rather than broad limits in capacity. You think men and women often gravitate toward different interests, parenting habits, and workplace strengths, while remaining generally similar in physical potential and capacity to express emotions.",True
7,pew_w154_diff1_uniform_repair_r2_167,,"Your views emphasize that everyday preferences, caregiving, and emotional styles are shaped more by personality and social experience than by gender, while still seeing average physical differences and some workplace strengths as making men and women better suited to different tasks.",True
8,pew_w154_diff1_uniform_repair_r2_168,,"Your views see some gender differences as rooted in socially patterned preferences and roles, such as hobbies, parenting styles, and workplace strengths, while also holding that men and women overlap substantially in everyday physical capabilities and in emotional expression when expectations are similar.",True
9,pew_w154_diff1_uniform_repair_r2_169,,"Your views are that men and women are often drawn to different interests, have different physical strengths, and may differ somewhat in workplace talents. You also believe caring for children and expressing emotions are shaped more by individual personality, family norms, and circumstances than by gender itself.",True
10,pew_w154_diff1_uniform_repair_r2_170,,"Your views are that most observed gender differences are shaped more by individual personality, opportunity, and social expectations than by fundamental differences between men and women, though some differences may appear in particular situations.",True
11,pew_w154_diff1_uniform_repair_r2_171,,"Your views emphasize broad overlap between men and women in personal interests and overall physical capability, while seeing social expectations and life roles as often shaping different approaches to parenting, emotional expression, and workplace strengths.",True
