job_id,target_id,model,service_name,valid,raw_sum,min_probability,max_probability
teen_life_candidate_priors_one_shot_school_effort,marginal:school_effort,gpt-5.5,openai,True,1.0,0.03,0.49
teen_life_candidate_priors_one_shot_school_effort,marginal:school_effort,anthropic/claude-opus-5,deep_infra,True,1.0,0.02,0.51
teen_life_candidate_priors_one_shot_school_effort,marginal:school_effort,grok-4.5,xai,True,1.0,0.04,0.52
teen_life_candidate_priors_one_shot_academic_confidence,marginal:academic_confidence,gpt-5.5,openai,True,1.0,0.03,0.51
teen_life_candidate_priors_one_shot_academic_confidence,marginal:academic_confidence,anthropic/claude-opus-5,deep_infra,True,1.0,0.03,0.54
teen_life_candidate_priors_one_shot_academic_confidence,marginal:academic_confidence,grok-4.5,xai,True,1.0,0.04,0.52
teen_life_candidate_priors_one_shot_homework_distraction,marginal:homework_distraction,gpt-5.5,openai,True,1.0,0.09,0.43
teen_life_candidate_priors_one_shot_homework_distraction,marginal:homework_distraction,anthropic/claude-opus-5,deep_infra,True,1.0,0.09,0.41
teen_life_candidate_priors_one_shot_homework_distraction,marginal:homework_distraction,grok-4.5,xai,True,1.0,0.16,0.38
teen_life_candidate_priors_one_shot_organized_activity,marginal:organized_activity,gpt-5.5,openai,True,1.0,0.09,0.39
teen_life_candidate_priors_one_shot_organized_activity,marginal:organized_activity,anthropic/claude-opus-5,deep_infra,True,1.0,0.13,0.38
teen_life_candidate_priors_one_shot_organized_activity,marginal:organized_activity,grok-4.5,xai,True,1.0,0.12,0.33
teen_life_candidate_priors_one_shot_career_clarity,marginal:career_clarity,gpt-5.5,openai,True,1.0,0.15,0.36
teen_life_candidate_priors_one_shot_career_clarity,marginal:career_clarity,anthropic/claude-opus-5,deep_infra,True,1.0,0.12,0.39
teen_life_candidate_priors_one_shot_career_clarity,marginal:career_clarity,grok-4.5,xai,True,1.0,0.13,0.38
teen_life_candidate_priors_one_shot_future_optimism,marginal:future_optimism,gpt-5.5,openai,True,1.0,0.07,0.45
teen_life_candidate_priors_one_shot_future_optimism,marginal:future_optimism,anthropic/claude-opus-5,deep_infra,True,1.0,0.05,0.42
teen_life_candidate_priors_one_shot_future_optimism,marginal:future_optimism,grok-4.5,xai,True,1.0,0.09,0.43
teen_life_candidate_priors_one_shot_peer_belonging,marginal:peer_belonging,gpt-5.5,openai,True,1.0,0.06,0.41
teen_life_candidate_priors_one_shot_peer_belonging,marginal:peer_belonging,anthropic/claude-opus-5,deep_infra,True,1.0,0.04,0.42
teen_life_candidate_priors_one_shot_peer_belonging,marginal:peer_belonging,grok-4.5,xai,True,1.0,0.09,0.42
