item,option,covered,support_rows
social_media_hours,Less than one hour,True,86
social_media_hours,One to three hours,True,85
social_media_hours,Four or more hours,True,85
posting_frequency,Never or almost never,True,47
posting_frequency,Less than once a week,True,69
posting_frequency,A few times a week,True,86
posting_frequency,At least once a day,True,54
late_night_use,Never,True,64
late_night_use,Rarely,True,64
late_night_use,Sometimes,True,64
late_night_use,Often,True,64
sleep_interference,Never,True,9
sleep_interference,Rarely,True,46
sleep_interference,Sometimes,True,118
sleep_interference,Often,True,83
social_comparison,Never,True,29
social_comparison,Rarely,True,73
social_comparison,Sometimes,True,114
social_comparison,Often,True,40
connection_effect,Makes me feel less connected,True,86
connection_effect,Makes little difference,True,85
connection_effect,Makes me feel more connected,True,85
parental_rules,No rules,True,64
parental_rules,A few loose rules,True,64
parental_rules,Some clear rules,True,64
parental_rules,Very strict rules,True,64
primary_platform,TikTok,True,43
primary_platform,Instagram,True,43
primary_platform,YouTube,True,43
primary_platform,Snapchat,True,43
primary_platform,Another platform,True,42
primary_platform,I do not use social media,True,42
school_effort,Never,True,2
school_effort,Rarely,True,17
school_effort,Sometimes,True,97
school_effort,Often,True,140
academic_confidence,Not at all confident,True,3
academic_confidence,A little confident,True,18
academic_confidence,Somewhat confident,True,89
academic_confidence,Very confident,True,146
homework_distraction,Never,True,64
homework_distraction,Rarely,True,64
homework_distraction,Sometimes,True,64
homework_distraction,Often,True,64
organized_activity,Never,True,64
organized_activity,Less than once a week,True,64
organized_activity,One or two days a week,True,64
organized_activity,Three or more days a week,True,64
career_clarity,No clear idea,True,32
career_clarity,A few vague ideas,True,106
career_clarity,A fairly clear idea,True,87
career_clarity,A very clear plan,True,31
future_optimism,Not at all optimistic,True,64
future_optimism,A little optimistic,True,64
future_optimism,Somewhat optimistic,True,64
future_optimism,Very optimistic,True,64
peer_belonging,Never,True,8
peer_belonging,Rarely,True,33
peer_belonging,Sometimes,True,117
peer_belonging,Often,True,98
