item,option,covered,support_rows
hobbies,Men and women are basically similar,True,33
hobbies,Men and women are basically different,True,31
physical_abilities,Men and women are basically similar,True,38
physical_abilities,Men and women are basically different,True,26
parenting,Men and women are basically similar,True,32
parenting,Men and women are basically different,True,32
feelings,Men and women are basically similar,True,37
feelings,Men and women are basically different,True,27
workplace,Men and women are basically similar,True,28
workplace,Men and women are basically different,True,36
