battery,coherence,coverage_item,coverage_option,design_schema_version,design_type,groups,intensity,job_id,prompt,reason,support_id,pattern
W154_DIFF1,item_specific,hobbies,Men and women are basically similar,1,option_coverage,,moderate,pew_w154_diff1_n12_001,"Support point identifier: pew_w154_diff1_n12_001

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically similar"" is a plausible response to hobbies: Their hobbies and personal interests.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover hobbies = Men and women are basically similar,1,
W154_DIFF1,item_specific,hobbies,Men and women are basically different,1,option_coverage,,strong,pew_w154_diff1_n12_002,"Support point identifier: pew_w154_diff1_n12_002

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically different"" is a plausible response to hobbies: Their hobbies and personal interests.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover hobbies = Men and women are basically different,2,
W154_DIFF1,item_specific,physical_abilities,Men and women are basically similar,1,option_coverage,,moderate,pew_w154_diff1_n12_003,"Support point identifier: pew_w154_diff1_n12_003

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically similar"" is a plausible response to physical_abilities: Their physical abilities.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover physical_abilities = Men and women are basically similar,3,
W154_DIFF1,item_specific,physical_abilities,Men and women are basically different,1,option_coverage,,strong,pew_w154_diff1_n12_004,"Support point identifier: pew_w154_diff1_n12_004

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically different"" is a plausible response to physical_abilities: Their physical abilities.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover physical_abilities = Men and women are basically different,4,
W154_DIFF1,item_specific,parenting,Men and women are basically similar,1,option_coverage,,moderate,pew_w154_diff1_n12_005,"Support point identifier: pew_w154_diff1_n12_005

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically similar"" is a plausible response to parenting: Their approach to parenting.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover parenting = Men and women are basically similar,5,
W154_DIFF1,item_specific,parenting,Men and women are basically different,1,option_coverage,,strong,pew_w154_diff1_n12_006,"Support point identifier: pew_w154_diff1_n12_006

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically different"" is a plausible response to parenting: Their approach to parenting.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover parenting = Men and women are basically different,6,
W154_DIFF1,item_specific,feelings,Men and women are basically similar,1,option_coverage,,moderate,pew_w154_diff1_n12_007,"Support point identifier: pew_w154_diff1_n12_007

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically similar"" is a plausible response to feelings: How they express their feelings.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover feelings = Men and women are basically similar,7,
W154_DIFF1,item_specific,feelings,Men and women are basically different,1,option_coverage,,strong,pew_w154_diff1_n12_008,"Support point identifier: pew_w154_diff1_n12_008

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically different"" is a plausible response to feelings: How they express their feelings.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover feelings = Men and women are basically different,8,
W154_DIFF1,item_specific,workplace,Men and women are basically similar,1,option_coverage,,moderate,pew_w154_diff1_n12_009,"Support point identifier: pew_w154_diff1_n12_009

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically similar"" is a plausible response to workplace: The things they are good at in the workplace.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover workplace = Men and women are basically similar,9,
W154_DIFF1,item_specific,workplace,Men and women are basically different,1,option_coverage,,strong,pew_w154_diff1_n12_010,"Support point identifier: pew_w154_diff1_n12_010

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile for whom ""Men and women are basically different"" is a plausible response to workplace: The things they are good at in the workplace.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",cover workplace = Men and women are basically different,10,
