support_id,job_id,variant,persona,valid
1,teen_social_big_support_aug3_257,,"Your views on social media are active but selective: you spend a lot of time there and share a few times a week, mostly on a less mainstream platform where you feel connected to friends rather than judged. Even though you usually avoid using it after your intended bedtime, the amount of time and mental stimulation from social media still often cuts into your sleep. Your parents do not really set rules around your use, so you manage it mostly on your own.",True
2,teen_social_big_support_aug3_258,,"Your views on social media are cautious and mostly observational: you spend little total time online and rarely post, but you still find yourself checking YouTube late at night, which can disrupt your sleep. Strict household rules limit your use, and because you mostly watch rather than interact, social media can make you feel less connected to friends while still sometimes triggering comparison.",True
3,teen_social_big_support_aug3_259,,"Your views on social media are cautious and somewhat detached: you usually spend very little total time on it and almost never post, but you may still make brief late-night checks when you meant to be off your phone. Because those checks are short, you do not see them as hurting your sleep, and you rarely come away comparing yourself negatively. Still, the experience can feel isolating rather than connecting, especially when you are mostly watching TikTok rather than interacting. You recognize that there are some clear household rules around social-media use, but they do not fully prevent bedtime checking.",True
4,teen_social_big_support_aug3_260,,"Your views on social media are shaped by tight household limits and a short daily window online, but the time you do get often spills past bedtime. You mostly use Instagram, post a few times a week, and find that even limited scrolling can leave you comparing yourself to others, sleeping worse, and feeling less connected rather than closer to friends.",True
5,teen_social_big_support_aug3_261,,"Your views on social media are cautious and somewhat conflicted: you keep your overall time low and rarely post, partly because strict parental rules limit how and when you can use it. Still, Instagram can pull you in after bedtime for short check-ins, which sometimes disrupt sleep. You do not usually compare yourself negatively to others, but the limited, late-night, mostly passive use can make friends feel more distant rather than closer.",True
6,teen_social_big_support_aug3_262,,"Your views on social media are cautious and somewhat conflicted: you do not see yourself as an active social-media user because you rarely post and may not have a main platform, but you still spend some time checking feeds, links, or shared content, especially late at night. Strict rules at home limit what you can do, and the experience usually feels more isolating than connecting, without making you compare yourself negatively to others.",True
7,teen_social_big_support_aug3_263,,"Your views on social media are that it fills a lot of downtime, especially TikTok browsing late at night, but you mostly watch rather than post. You do not usually compare yourself negatively to what you see, yet the habit can still leave you feeling somewhat isolated from friends and sometimes cuts into sleep. With few or no household rules, managing limits is mostly up to you.",True
8,teen_social_big_support_aug3_264,,"Your views on social media are shaped by using it mostly as a low-pressure way to keep up with friends and communities rather than to post about yourself. You spend a lot of time scrolling, messaging, watching, or checking a platform outside the biggest mainstream apps, including after you meant to be done for the night, but you do not feel it hurts your sleep or makes you compare yourself negatively. You see it as helping you stay connected, while your parents have some clear rules that set boundaries without feeling very strict.",True
9,teen_social_big_support_aug3_265,,"Your views on social media are pretty practical: you mostly lurk on a smaller or less common platform to keep up with friends, and that helps you feel connected without much comparison or posting. You follow some clear household rules and avoid using it after bedtime, but even moderate use can leave your mind active enough that sleep is often disrupted.",True
10,teen_social_big_support_aug3_266,,"Your views on social media are mostly practical and friend-focused: you spend a lot of time checking messages, stories, and group chats, but you do not feel much pressure to post publicly or compare yourself to others. Snapchat feels like the main place you keep up with friends, and it generally makes you feel more connected. You mostly respect clear household rules about bedtime and phone use, though social media still sometimes cuts into sleep because you spend so much time on it overall.",True
11,teen_social_big_support_aug3_267,,"Your views on social media are cautious but not rejecting: you do not spend much total time online and rarely post, yet quick late-night checks can still disrupt your sleep. Instagram is mainly a place to keep up with friends, which helps you feel connected, but seeing others' photos and updates can also make you compare yourself negatively. With few or no parental rules, you manage your own use, even when its effects are mixed.",True
12,teen_social_big_support_aug3_268,,"Your views on social media are mostly passive and conflicted: you do not spend much total time on it or post much, but you tend to check TikTok late at night when you meant to be asleep. Even short sessions can keep you awake and leave you comparing yourself negatively to others, while not really making you feel closer to friends. With few or no rules around use, the pattern feels more like an unmanaged habit than a main social outlet.",True
13,teen_social_big_support_aug3_269,,"Your views on social media are shaped by strict household limits and a habit of keeping your use brief but poorly timed. You do not post much, and you mostly check a smaller or less common platform to stay in touch with friends. Even though your total daily time is usually low, nighttime checking can happen often enough to interfere with sleep, while occasional comparison still comes up without making the overall experience feel disconnected.",True
14,teen_social_big_support_aug3_270,,"Your views on social media are mixed but practical: you spend a lot of time browsing, watching stories, messaging, and keeping up with people, especially on Instagram, but you do not feel the need to post very often. You generally follow clear household expectations about stopping before bedtime, so you rarely use social media after you meant to go to sleep, though what you saw earlier can still sometimes make it harder to settle down. Social media usually helps you feel connected to friends, even if it sometimes leads to comparing yourself with others.",True
15,teen_social_big_support_aug3_271,,"Your views on social media are that it is a big daytime routine, especially watching and posting on YouTube, but not something you let spill into bedtime. You share often and spend a lot of time online, yet the experience can feel more like broadcasting or consuming content than building closeness with friends. You do not usually compare yourself negatively, and a few loose household expectations are enough to keep sleep protected.",True
16,teen_social_big_support_aug3_272,,"Your views on social media are mixed: you keep your total time fairly moderate but post frequently, often check in after bedtime without usually feeling it hurts your sleep, and find that an alternative platform can trigger comparison and leave you feeling less connected even with little outside restriction.",True
17,teen_social_big_support_aug3_273,,"Your views on social media are cautious and somewhat detached: strict household rules and your own hesitation keep your use very limited, and you rarely post. Because you are mostly outside the main social-media loop, it can make you feel less connected to friends, though it does not usually lead you to compare yourself negatively. When you do check in, it is sometimes later than planned and can occasionally get in the way of sleep.",True
18,teen_social_big_support_aug3_274,,"Your views on social media are that it is mostly a long-running background way to keep up with friends rather than a place where you post a lot. You spend many daily hours browsing, messaging, or following smaller community platforms, but you usually stop before bedtime, do not feel it hurts your sleep, and only rarely get pulled into negative comparison. Your parents set a few flexible expectations, and you generally experience social media as making friendships feel closer.",True
19,teen_social_big_support_aug3_275,,"Your views on social media are shaped by using it a lot as a place to scroll and keep up, especially on Instagram, but not as a place where you share much yourself. You often check it after you meant to go to bed, yet you usually feel like it does not seriously disrupt your sleep. Seeing other people's posts can sometimes make you compare yourself negatively, and because much of your use is passive, it can leave you feeling less connected to friends rather than closer. You have some clear rules at home, but not so many that they keep you off social media most of the time.",True
20,teen_social_big_support_aug3_276,,"Your views on social media are active but rule-bound: you spend a lot of time there and post often because it helps you keep up with friends, especially on a platform outside the biggest named apps. At the same time, you mostly follow very strict household limits about bedtime use, so you rarely scroll after lights-out. Even without late-night scrolling, social media can still sometimes affect your sleep because group chats, posts, or things you plan to share stay on your mind. You generally do not compare yourself negatively to others online.",True
21,teen_social_big_support_aug3_277,,"Your views on social media are conflicted: you spend a lot of time passively scrolling or watching feeds, but you almost never post and do not feel like you have a true main social platform. You usually try not to use it after your intended bedtime, yet earlier use can still throw off your sleep. It sometimes leads to comparison, makes you feel less connected to friends, and your parents have some clear rules around it.",True
22,teen_social_big_support_aug3_278,,"Your views on social media are shaped by being mostly a passive, reluctant browser: you can lose many hours watching feeds or short videos, but you almost never post and may not think of yourself as having a real primary social-media platform. You usually avoid using it after bedtime because there are some clear household rules, yet the time you spend earlier can still crowd out sleep and leave you feeling less connected to friends rather than more compared with them.",True
