support_id,job_id,design_type,reason,coverage_item,coverage_option,intensity,coherence,pattern,profile
1,pew_w154_diff1_uniform_n96_001,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
2,pew_w154_diff1_uniform_n96_002,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
3,pew_w154_diff1_uniform_n96_003,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically different"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
4,pew_w154_diff1_uniform_n96_004,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically different"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
5,pew_w154_diff1_uniform_n96_005,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
6,pew_w154_diff1_uniform_n96_006,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
7,pew_w154_diff1_uniform_n96_007,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically different"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically similar""}",
8,pew_w154_diff1_uniform_n96_008,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically different"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically similar"", ""workplace"": ""Men and women are basically different""}",
9,pew_w154_diff1_uniform_n96_009,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""workplace"": ""Men and women are basically similar""}",
10,pew_w154_diff1_uniform_n96_010,pattern_anchor,uniform full-pattern replicate 1,,,,explicit,"{""feelings"": ""Men and women are basically similar"", ""hobbies"": ""Men and women are basically similar"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""workplace"": ""Men and women are basically different""}",
