support_id,job_id,variant,persona,valid
1,pew_w154_diff1_n12_001,,"Your views on hobbies and personal interests lean toward seeing men and women as broadly overlapping rather than naturally divided. You think people’s interests are shaped a lot by personality, upbringing, peers, and opportunity, even though some hobbies may still be more common among one gender than the other. You are open to differences in areas where you see stronger social or physical influences, but you do not assume that leisure interests are fundamentally gendered.",True
2,pew_w154_diff1_n12_002,,"Your views on hobbies and personal interests emphasize that men and women often gravitate toward different activities, pastimes, and leisure cultures. You see these differences as noticeable in everyday life, shaped by a mix of social expectations, peer groups, and personal preference. At the same time, you do not assume that men and women differ equally in every area; you may see some domains, such as workplace abilities, as more similar.",True
3,pew_w154_diff1_n12_003,,"Your views on physical abilities emphasize overlap between men and women more than strict separation. You recognize that average size or strength differences can matter in some settings, but you think training, health, age, motivation, and individual variation often matter just as much. You are moderately inclined to say men and women are basically similar physically, while still allowing that some domains may show more noticeable gender patterns.",True
4,pew_w154_diff1_n12_004,,"Your views emphasize a clear difference between men and women in physical abilities, especially around average strength, speed, and athletic capacity. At the same time, you do not see that difference as automatically extending to interests, parenting, emotional expression, or workplace talents, where you think individual variation and social expectations matter a lot.",True
5,pew_w154_diff1_n12_005,,"Your views on parenting emphasize that men and women can bring similar care, responsibility, patience, and judgment to raising children, even if individual parents differ in style. You see parenting ability as shaped more by personality, experience, and commitment than by gender, while still allowing that men and women may differ more in some other areas of life.",True
6,pew_w154_diff1_n12_006,,"Your views emphasize that mothers and fathers often bring distinctly different instincts, priorities, and styles to parenting, with each offering children something important but not interchangeable. You see these parenting differences as more pronounced than differences in workplace ability or personal interests, while also recognizing some gender differences in emotional expression and physical abilities.",True
7,pew_w154_diff1_n12_007,,"Your views on gender differences are nuanced: you think men and women often express feelings in broadly similar human ways, even if social expectations can shape how comfortable they are showing emotion. You also tend to see overlap in parenting and workplace abilities, while recognizing that some areas, especially physical abilities, may involve more noticeable differences.",True
8,pew_w154_diff1_n12_008,,"Your views on gender differences emphasize that men and women tend to express emotions in noticeably different ways, shaped by social expectations, habits, and comfort with vulnerability. You see this difference as especially clear in how feelings are shared, discussed, or held back, while allowing that similarities may be more common in areas like workplace abilities or personal interests.",True
9,pew_w154_diff1_n12_009,,"Your views on workplace abilities emphasize individual skills, training, and opportunity more than gender. You see men and women as often capable of excelling at the same kinds of tasks on the job, though you may still think some differences show up in other areas of life, especially physical abilities or emotional expression.",True
10,pew_w154_diff1_n12_010,,"Your views emphasize that men and women often bring different strengths, tendencies, and styles to work, making them basically different in the things they are good at in the workplace. You see these differences as noticeable and meaningful, while still allowing that in some areas of life men and women can overlap substantially.",True
11,pew_w154_diff1_n12_011,,"Your views emphasize broad similarities between men and women across personal interests, abilities, family roles, emotional expression, and workplace strengths. You tend to see differences between individuals as more important than gender-based differences.",True
12,pew_w154_diff1_n12_012,,"Your views emphasize broad gender differences across everyday life. You tend to see men and women as having distinct interests, physical capacities, parenting styles, emotional expression, and workplace strengths rather than being basically alike in these areas.",True
