support_id,job_id,item,option_index,option_code,option_label,probability
1,pew_w154_diff1_uniform_repair_r2_161,hobbies,0,1,Men and women are basically similar,0.36
1,pew_w154_diff1_uniform_repair_r2_161,hobbies,1,2,Men and women are basically different,0.64
1,pew_w154_diff1_uniform_repair_r2_161,physical_abilities,0,1,Men and women are basically similar,0.61
1,pew_w154_diff1_uniform_repair_r2_161,physical_abilities,1,2,Men and women are basically different,0.39
1,pew_w154_diff1_uniform_repair_r2_161,parenting,0,1,Men and women are basically similar,0.34
1,pew_w154_diff1_uniform_repair_r2_161,parenting,1,2,Men and women are basically different,0.66
1,pew_w154_diff1_uniform_repair_r2_161,feelings,0,1,Men and women are basically similar,0.58
1,pew_w154_diff1_uniform_repair_r2_161,feelings,1,2,Men and women are basically different,0.42
1,pew_w154_diff1_uniform_repair_r2_161,workplace,0,1,Men and women are basically similar,0.37
1,pew_w154_diff1_uniform_repair_r2_161,workplace,1,2,Men and women are basically different,0.63
2,pew_w154_diff1_uniform_repair_r2_162,hobbies,0,1,Men and women are basically similar,0.34
2,pew_w154_diff1_uniform_repair_r2_162,hobbies,1,2,Men and women are basically different,0.66
2,pew_w154_diff1_uniform_repair_r2_162,physical_abilities,0,1,Men and women are basically similar,0.58
2,pew_w154_diff1_uniform_repair_r2_162,physical_abilities,1,2,Men and women are basically different,0.42
2,pew_w154_diff1_uniform_repair_r2_162,parenting,0,1,Men and women are basically similar,0.67
2,pew_w154_diff1_uniform_repair_r2_162,parenting,1,2,Men and women are basically different,0.33
2,pew_w154_diff1_uniform_repair_r2_162,feelings,0,1,Men and women are basically similar,0.61
2,pew_w154_diff1_uniform_repair_r2_162,feelings,1,2,Men and women are basically different,0.39
2,pew_w154_diff1_uniform_repair_r2_162,workplace,0,1,Men and women are basically similar,0.38
2,pew_w154_diff1_uniform_repair_r2_162,workplace,1,2,Men and women are basically different,0.62
3,pew_w154_diff1_uniform_repair_r2_163,hobbies,0,1,Men and women are basically similar,0.62
3,pew_w154_diff1_uniform_repair_r2_163,hobbies,1,2,Men and women are basically different,0.38
3,pew_w154_diff1_uniform_repair_r2_163,physical_abilities,0,1,Men and women are basically similar,0.25
3,pew_w154_diff1_uniform_repair_r2_163,physical_abilities,1,2,Men and women are basically different,0.75
3,pew_w154_diff1_uniform_repair_r2_163,parenting,0,1,Men and women are basically similar,0.36
3,pew_w154_diff1_uniform_repair_r2_163,parenting,1,2,Men and women are basically different,0.64
3,pew_w154_diff1_uniform_repair_r2_163,feelings,0,1,Men and women are basically similar,0.3
3,pew_w154_diff1_uniform_repair_r2_163,feelings,1,2,Men and women are basically different,0.7
3,pew_w154_diff1_uniform_repair_r2_163,workplace,0,1,Men and women are basically similar,0.68
3,pew_w154_diff1_uniform_repair_r2_163,workplace,1,2,Men and women are basically different,0.32
4,pew_w154_diff1_uniform_repair_r2_164,hobbies,0,1,Men and women are basically similar,0.36
4,pew_w154_diff1_uniform_repair_r2_164,hobbies,1,2,Men and women are basically different,0.64
4,pew_w154_diff1_uniform_repair_r2_164,physical_abilities,0,1,Men and women are basically similar,0.58
4,pew_w154_diff1_uniform_repair_r2_164,physical_abilities,1,2,Men and women are basically different,0.42
4,pew_w154_diff1_uniform_repair_r2_164,parenting,0,1,Men and women are basically similar,0.61
4,pew_w154_diff1_uniform_repair_r2_164,parenting,1,2,Men and women are basically different,0.39
4,pew_w154_diff1_uniform_repair_r2_164,feelings,0,1,Men and women are basically similar,0.33
4,pew_w154_diff1_uniform_repair_r2_164,feelings,1,2,Men and women are basically different,0.67
4,pew_w154_diff1_uniform_repair_r2_164,workplace,0,1,Men and women are basically similar,0.38
4,pew_w154_diff1_uniform_repair_r2_164,workplace,1,2,Men and women are basically different,0.62
5,pew_w154_diff1_uniform_repair_r2_165,hobbies,0,1,Men and women are basically similar,0.35
5,pew_w154_diff1_uniform_repair_r2_165,hobbies,1,2,Men and women are basically different,0.65
5,pew_w154_diff1_uniform_repair_r2_165,physical_abilities,0,1,Men and women are basically similar,0.62
5,pew_w154_diff1_uniform_repair_r2_165,physical_abilities,1,2,Men and women are basically different,0.38
5,pew_w154_diff1_uniform_repair_r2_165,parenting,0,1,Men and women are basically similar,0.42
5,pew_w154_diff1_uniform_repair_r2_165,parenting,1,2,Men and women are basically different,0.58
5,pew_w154_diff1_uniform_repair_r2_165,feelings,0,1,Men and women are basically similar,0.57
5,pew_w154_diff1_uniform_repair_r2_165,feelings,1,2,Men and women are basically different,0.43
5,pew_w154_diff1_uniform_repair_r2_165,workplace,0,1,Men and women are basically similar,0.68
5,pew_w154_diff1_uniform_repair_r2_165,workplace,1,2,Men and women are basically different,0.32
6,pew_w154_diff1_uniform_repair_r2_166,hobbies,0,1,Men and women are basically similar,0.34
6,pew_w154_diff1_uniform_repair_r2_166,hobbies,1,2,Men and women are basically different,0.66
6,pew_w154_diff1_uniform_repair_r2_166,physical_abilities,0,1,Men and women are basically similar,0.59
