agent_name,support_id,job_id,weight,persona
umriss_95,95,pew_w154_diff1_uniform_n96_095,0.10177999668210305,"Your views emphasize perceived gender differences in personal interests, physical abilities, parenting styles, and emotional expression, while seeing men and women as largely similar in workplace competencies."
umriss_31,31,pew_w154_diff1_uniform_n96_031,0.08816794539650609,"Your views see men and women as generally different in personal interests, physical abilities, parenting approaches, and emotional expression, while seeing their workplace strengths and competencies as largely similar."
umriss_63,63,pew_w154_diff1_uniform_n96_063,0.07593096729842881,"Your views are that men and women tend to differ in personal interests, physical abilities, parenting styles, and emotional expression, while their workplace strengths and competencies are largely similar across genders."
umriss_96,96,pew_w154_diff1_uniform_n96_096,0.06915423757361157,"Your views of gender are consistently difference-oriented, seeing men and women as basically different in personal interests, physical abilities, parenting styles, emotional expression, and workplace strengths."
umriss_64,64,pew_w154_diff1_uniform_n96_064,0.06818443285290478,"Your views tend to see men and women as fundamentally different across personal and social domains, including interests, physical abilities, parenting styles, emotional expression, and workplace strengths."
umriss_32,32,pew_w154_diff1_uniform_n96_032,0.04950908671463677,"Your views emphasize consistent differences between men and women in personal interests, physical abilities, parenting approaches, emotional expression, and workplace strengths."
umriss_15,15,pew_w154_diff1_uniform_n96_015,0.033846455188542686,"Your views are that men and women are alike in personal interests and workplace capabilities, while differences are more pronounced in physical abilities, parenting approaches, and emotional expression."
umriss_47,47,pew_w154_diff1_uniform_n96_047,0.032144800363064975,"Your views see men and women as largely alike in everyday interests and workplace capabilities, while seeing gender differences as more pronounced in physical abilities, parenting styles, and emotional expression."
umriss_79,79,pew_w154_diff1_uniform_n96_079,0.030240894175120263,"Your views see men and women as broadly similar in personal interests and workplace capabilities, while gender differences are more pronounced in physical abilities, parenting approaches, and emotional expression."
umriss_60,60,pew_w154_diff1_uniform_n96_060,0.026461643281053143,"Your views see men and women as differing across many personal and social domains, especially in physical abilities, emotional expression, hobbies, and workplace strengths, while seeing their parenting approaches as more basically similar."
umriss_48,48,pew_w154_diff1_uniform_n96_048,0.025167791707113536,"Your views are that men and women share broadly similar hobbies and personal interests, while gender differences are more pronounced in physical abilities, parenting approaches, emotional expression, and workplace strengths."
umriss_16,16,pew_w154_diff1_uniform_n96_016,0.020783682370321514,"Your views see men and women as having broadly similar hobbies and personal interests, while differing in physical abilities, parenting styles, emotional expression, and workplace strengths."
umriss_80,80,pew_w154_diff1_uniform_n96_080,0.019676582542409806,"Your views see men and women as having broadly similar hobbies and interests, while gender differences stand out more in physical abilities, parenting style, emotional expression, and workplace strengths."
umriss_27,27,pew_w154_diff1_uniform_n96_027,0.019217399672819404,"Your views see men and women as differing in personal interests, physical abilities, and emotional expression, while seeing them as broadly similar in parenting approaches and workplace strengths."
umriss_28,28,pew_w154_diff1_uniform_n96_028,0.018815374026463404,"Your views are that men and women differ in several broad areas, especially physical abilities, emotional expression, hobbies, and workplace strengths, while their approach to parenting is largely similar."
umriss_43,43,pew_w154_diff1_uniform_n96_043,0.0187801428207103,"Your views emphasize broad similarity between men and women in everyday interests, parenting approaches, and workplace strengths, while seeing clearer gender differences in physical abilities and emotional expression."
umriss_55,55,pew_w154_diff1_uniform_n96_055,0.014395222230593079,"Your views are that men and women differ in personal interests, parenting styles, and emotional expression, but are similar in physical abilities and workplace strengths."
umriss_87,87,pew_w154_diff1_uniform_n96_087,0.013364655605280773,"Your views see men and women as different in personal interests, parenting approaches, and emotional expression, while broadly similar in physical abilities and workplace strengths."
umriss_23,23,pew_w154_diff1_uniform_n96_023,0.011584766672295462,"Your views are that men and women differ mainly in personal interests, parenting styles, and emotional expression, while being broadly similar in physical abilities and workplace strengths."
umriss_92,92,pew_w154_diff1_uniform_n96_092,0.011328203034038063,"Your views are that men and women are mostly different in their interests, physical abilities, emotional expression, and workplace strengths, while their approach to parenting is more fundamentally similar."
umriss_59,59,pew_w154_diff1_uniform_n96_059,0.01115311889157966,"Your views see gender differences as most evident in personal interests, physical abilities, and emotional expression, while seeing men and women as broadly similar in parenting approaches and workplace competencies."
