support_id,job_id,variant,persona,valid
1,teen_social_life_support_001,,"Your views on social media are cautious and balanced: you use it in small doses, mostly to keep up with people or watch a little content, but it is not central to your day. You are not especially driven to post often, and you generally keep boundaries around bedtime and schoolwork. You tend to feel reasonably connected to peers offline as well as online, put steady effort into school, and feel somewhat positive about your future without needing every detail figured out.",True
2,teen_social_life_support_002,,"Your views on social media are balanced and intentional: you use it most days for entertainment and keeping up with friends, but it is not the center of your life. You post occasionally, sometimes stay on later than planned, and may compare yourself to others now and then, but you usually feel able to keep school, activities, sleep, and friendships on track.",True
3,teen_social_life_support_003,,"Your views on social media are engaged and somewhat ambivalent: you spend a lot of daily time scrolling, messaging, and keeping up with friends, and it often feels socially useful, but you also notice it can cut into sleep, homework focus, and self-confidence. You generally try in school and feel reasonably hopeful about your future, even if your plans are still forming and your sense of belonging can depend on what is happening with friends online and offline.",True
4,teen_social_life_support_004,,"Your views on social media are private and low-key: you may scroll or watch content, but you strongly avoid posting, sharing, or putting your personal life on display. You prefer direct friendships, school responsibilities, and offline activities to maintaining an online presence, and social media feels more like background entertainment than a place to express yourself.",True
5,teen_social_life_support_005,,"Your views on social media are selective and low-pressure: you still check apps to keep up with friends and entertainment, but you rarely feel the need to post or share yourself. You tend to see social media as something useful but distracting at times, and you try to keep school, sleep, activities, and in-person friendships from being crowded out by it.",True
6,teen_social_life_support_006,,"Your views on social media are active but not all-consuming: you share updates a few times a week to stay visible and connected, enjoy friends' reactions, and sometimes get pulled into late-night scrolling or comparisons, but you still care about school, activities, and a hopeful future.",True
7,teen_social_life_support_007,,"Your views on social media are active and socially oriented: you share updates or repost content most days because it helps you stay connected and visible with friends, though you still notice it can distract you from homework, sleep, and confidence at times. You generally try in school, feel fairly positive about your future, and balance online life with some in-person activities and peer belonging.",True
8,teen_social_life_support_008,,"Your views on social media are shaped by firm bedtime boundaries and a preference for keeping your phone from taking over the night. You may still use apps to watch, message, or keep up with friends, but you are less focused on constant posting and more likely to see social media as something that fits around school, sleep, activities, and in-person relationships.",True
9,teen_social_life_support_009,,"Your views on social media are balanced: it helps you keep up with friends, but you usually try to put your phone away around bedtime. You may scroll or respond to messages after you meant to sleep once in a while, especially when bored or stressed, but you do not see late-night use as a regular habit. You are somewhat mindful of sleep and homework, post selectively, and feel social media is more helpful for connection than central to your identity.",True
10,teen_social_life_support_010,,"Your views on social media are balanced but a little hard to contain at night: you use it to keep up with friends and entertainment, post selectively, and mean to stop at bedtime but sometimes keep scrolling or replying. You notice it can occasionally affect sleep and homework, yet you still put effort into school, feel fairly connected to peers, and are cautiously optimistic about your future.",True
11,teen_social_life_support_011,,"Your views on social media are that it is a normal, useful way to stay connected and unwind, especially at night; you often keep scrolling or messaging past when you meant to sleep, though you still care about school, friendships, activities, and your future. You notice it can distract you or make comparisons feel worse at times, but you do not see it as ruining your life.",True
12,teen_social_life_support_012,,"Your views on social media are controlled and practical: you may use it to keep up with friends or entertainment, but you set boundaries around bedtime and do not let it cut into sleep. You tend to be selective about posting, less prone to letting feeds shape your self-worth, and focused enough on school, activities, and everyday routines that online life stays in its place.",True
13,teen_social_life_support_013,,"Your views on social media are mostly practical and balanced: you use it regularly to keep up with friends and entertainment, but you usually have enough limits or routines that it only rarely cuts into your sleep. You may scroll after bedtime now and then or get distracted sometimes, yet you generally try to stay on top of schoolwork, feel reasonably connected to peers, and remain cautiously optimistic about your future.",True
14,teen_social_life_support_014,,"Your views on social media are mixed: it is a normal part of staying close to friends and filling downtime, but you notice it sometimes pushes past bedtime and leaves you short on sleep. You are not constantly overwhelmed by it, yet late-night scrolling and notifications are a real enough habit that sleep and homework can suffer at times. You generally try in school, feel reasonably connected to peers, and have some optimism about the future, even while social comparison and distraction occasionally get to you.",True
15,teen_social_life_support_015,,"Your views on social media are mixed: it helps you keep up with friends and feel included, but you often stay on longer than planned at night and notice it cutting into sleep. You still put real effort into school and feel reasonably hopeful, though your phone can distract you from homework and sometimes makes you compare yourself negatively to others.",True
16,teen_social_life_support_016,,"Your views on social media are grounded and self-protective: you see posts as curated snapshots rather than standards to measure yourself against, so they almost never make you feel worse about your own life or appearance. You may still use social media to keep up with friends or entertainment, but you are relatively confident, school-focused, and able to step back when it feels distracting.",True
17,teen_social_life_support_017,,"Your views on social media are mostly balanced: you use it to keep up with friends and entertainment, but you do not usually let other people’s posts make you feel worse about yourself. You may occasionally compare yourself to others, especially when feeds feel polished or competitive, but it is not a major or frequent part of your online experience. You tend to feel reasonably connected to peers, put steady effort into school, and feel cautiously positive about your future.",True
18,teen_social_life_support_018,,"Your views on social media are mixed: it helps you stay connected and entertained, but you sometimes catch yourself comparing your looks, popularity, or life to what other girls post. Those comparisons bother you when they happen, yet they do not define your whole mood or friend life. You are fairly engaged in school, somewhat confident about the future, and you usually feel like you belong, even though social media can sometimes distract you from sleep or homework.",True
19,teen_social_life_support_019,,"Your views on social media are mixed: you use it enough that polished posts and friend updates often make you measure your looks, popularity, or achievements against others, but you still see it as a real way to keep up with friends. You may scroll late or get distracted sometimes, while still trying in school and feeling cautiously hopeful about your future.",True
20,teen_social_life_support_020,,"Your views on social media are shaped by feeling that it often makes friendships seem more distant rather than closer. You tend to see online spaces as places where people compare, perform, or leave each other out, so even when you use them regularly, they can make peer relationships feel less secure. You may still care about school and your future, but social media often feels distracting, emotionally draining, and not very helpful for real connection.",True
21,teen_social_life_support_021,,"Your views on social media are fairly balanced: it is a normal part of your day for entertainment, keeping up with people, and occasional posting, but it does not dramatically change how close you feel to your friends. You tend to see friendships as mostly shaped by school, activities, group chats, and in-person time, while social media sometimes distracts you or leads to comparison without taking over your life. You are generally engaged in school, somewhat confident about the future, and feel a reasonable sense of belonging among peers.",True
22,teen_social_life_support_022,,"Your views on social media are strongly social and friendship-centered: you see it as a main way to keep up with friends, share everyday moments, and feel included even when you are not physically together. You use it fairly often and sometimes late, but you still tend to feel connected to peers, engaged in school, and generally optimistic about your future.",True
23,teen_social_life_support_023,,"Your views on social media are shaped by a sense of independence and trust at home: you do not feel like your parents set formal rules, even if they may occasionally comment or check in. You use social media as a normal part of staying connected with friends, sometimes late at night, and you see both the benefits and the distractions. You generally try in school and feel reasonably positive about the future, but your focus and sleep can be pulled off track when online life is especially active.",True
24,teen_social_life_support_024,,"Your views on social media are shaped by having a lot of personal freedom with only a few loose parental limits, such as general expectations rather than closely enforced rules. You use social media regularly to stay connected with friends, sometimes letting it cut into sleep or homework, but you do not see it as completely taking over your life. You tend to feel reasonably confident about school and your future, while still having some uncertainty about long-term plans.",True
25,teen_social_life_support_025,,"Your views on social media are fairly balanced: you use it regularly to stay connected and entertained, but your parents have some clear expectations about when, how long, or what kinds of use are okay. You sometimes push the limits, especially at night or during homework, but you generally accept that the rules are meant to keep things manageable. You care about friends and school, feel reasonably hopeful about the future, and are still figuring out your longer-term direction.",True
26,teen_social_life_support_026,,"Your views on social media are shaped by close parental monitoring and firm limits, so you see online time as something that has to fit around school, sleep, and family expectations. You may still use social media to keep up with friends, but you are cautious about posting, less likely to be online late, and aware that social media can become distracting or emotionally draining if it is not kept under control.",True
27,teen_social_life_support_027,,"Your views on social media center on TikTok as a fun, everyday place for entertainment, trends, and staying in touch. You use it regularly and sometimes late, but it is not your whole life; it can distract from homework or sleep and occasionally triggers comparison, while still making you feel more connected. You generally try in school, feel reasonably confident, have some future hopes, and feel a decent but not perfect sense of belonging.",True
28,teen_social_life_support_028,,"Your views on social media center Instagram as the main place you keep up with friends, trends, stories, and how people present themselves. You use it heavily and post or share fairly often, seeing it as socially important and connecting, even though it can pull you into late-night scrolling, comparison, and homework distractions. You generally try in school, feel reasonably confident about your future, and have a solid but not completely carefree sense of belonging.",True
