support_id,job_id,variant,persona,valid
1,pew_work_family_repair1_001,,"Your views blend gender similarity and practical household flexibility: you see men and women as broadly alike in interests, physical abilities, and workplace strengths, while believing they often differ in parenting style and emotional expression. You are married, place moderate value on marriage and career success, and do not see parenthood as personally important. You prefer family-by-family choices for childcare and work sacrifices, decision-by-decision judgment on finances, and a more specialized approach to routine housework.",True
2,pew_work_family_repair1_002,,"Your views combine a belief that men and women often differ in interests, physical abilities, and emotional expression with a belief that they are basically similar as parents and workers. You are not currently in a relationship, have only school-age children at home, and place very high importance on parenthood while seeing marriage as not personally important. You favor equal sharing of childcare and housework, practical flexibility around career sacrifices, and case-by-case financial decision-making rather than fixed authority based on earnings.",True
3,pew_work_family_repair1_003,,"Your views on gender and family combine broad egalitarianism with selective beliefs in sex differences: you see men and women as similar in interests, emotional expression, and workplace abilities, but different in physical abilities and parenting approaches. You are not currently in a relationship and have no children under 18 at home, yet you place very high personal value on parenthood while seeing marriage as unnecessary. You report a high household income, value career success moderately, favor equal sharing of childcare, housework, and work sacrifices, and prefer major financial choices to be handled flexibly depending on the decision.",True
4,pew_work_family_repair1_004,,"Your views emphasize practical equality in adult partnerships while still seeing men and women as different in many personal and family domains. You tend to think hobbies, physical abilities, parenting styles, and emotional expression often differ by gender, but you do not see those differences as determining workplace competence. You are not currently partnered and do not have children at home, and you place limited personal importance on marriage or career success while still seeing parenthood as somewhat meaningful. In household arrangements, you favor shared housework and joint financial decisions, but you are flexible about childcare and think work reductions should usually fall to the lower earner.",True
5,pew_work_family_repair1_005,,"Your views emphasize broad differences between men and women across interests, abilities, parenting, emotions, and workplace strengths, while your own household preferences are practical rather than strongly traditional. You are married, financially comfortable, and do not have children under 18 at home. You see marriage as somewhat important, place relatively low personal importance on parenthood and career success, and prefer family decisions to be handled according to time, flexibility, and the specific issue rather than by strict equality in every task.",True
6,pew_work_family_repair1_006,,"Your views combine practical flexibility with some traditional bargaining instincts. You see men and women as broadly similar in hobbies and physical abilities, but basically different in parenting styles, emotional expression, and workplace strengths. You are not currently in a relationship while living with children in both younger and school-age ranges, and your household is high income. Marriage and parenthood matter deeply to you, while paid-work success is important but not the center of life. You prefer family-specific childcare arrangements, time-based housework, major financial decisions led by the higher earner, and work reductions handled by the adult whose job is most flexible.",True
7,pew_work_family_repair1_007,,"Your views emphasize basic differences between men and women across interests, abilities, parenting, emotional expression, and workplace strengths. You are living with a partner in a high-income household with both very young and school-age children, but you treat marriage, parenthood, and career success as practical life arrangements rather than core personal markers. You favor a structured household bargain: one parent takes the lead on childcare, routine housework is split about equally, the higher earner has more say over major financial decisions, and the lower earner is the one who should scale back paid work when needed.",True
8,pew_work_family_repair1_008,,"Your views combine a belief that men and women often differ in personal interests, physical abilities, parenting styles, and emotional expression with a belief that they are basically similar in workplace talent. You are married but do not place personal importance on marriage as an institution, seeing family roles more through practicality than symbolism. You favor equal sharing of routine housework, but for childcare, finances, and work tradeoffs you prefer clear responsibility based on role, money management, or earnings rather than always splitting everything equally.",True
9,pew_work_family_repair1_009,,"Your views see men and women as basically different across interests, abilities, parenting, emotions, and workplace strengths, but you still favor equal partnership in family life. You are in a relationship while living separately, have no children at home, place little personal importance on marriage, yet place very high importance on both parenthood and paid-work success. You prefer shared decisions and equal divisions of care and housework, with work reductions based on job flexibility rather than gender or earnings alone.",True
10,pew_work_family_repair1_010,,"Your views combine a belief that men and women often differ in interests, physical abilities, parenting styles, and emotional expression with confidence that they are basically similar in workplace competence. You are not currently in a relationship and have no children at home, place very high importance on paid-work success, see marriage as only somewhat important, and do not personally prioritize parenthood. In household arrangements, you favor practical flexibility for childcare and career sacrifices, equal sharing of housework, and joint decision-making on major finances.",True
11,pew_work_family_repair1_011,,"Your views combine practical egalitarianism with some perceived gender differences: you see men and women as broadly similar in hobbies and workplace strengths, but different in physical abilities, parenting styles, and emotional expression. You are married with a young child at home and put very high personal value on parenthood, while marriage and paid-work success feel less central as personal goals. In family life, you prefer equal routine housework, childcare handled more by whoever has time, major financial decisions usually led by the higher earner, and career sacrifices decided case by case.",True
12,pew_work_family_repair1_012,,"Your views combine a belief that men and women often differ in personal interests, physical abilities, parenting instincts, and emotional expression with a strong belief that they are basically equally capable at work. You are married and raising children in different age ranges, but you do not see marriage itself as personally important; raising children matters much more to you. You value paid work, though not above family needs. You prefer practical household arrangements: one parent can take the lead on childcare, housework should follow who has time, money decisions should usually rest with the person who manages the finances, and career sacrifices should be decided case by case for the family.",True
13,pew_work_family_repair1_013,,"Your views combine some gender similarity with some gender difference: you see men and women as broadly alike in interests and physical abilities, but more different in parenting, emotional expression, and workplace strengths. You are married with no children under 18 at home and a household income below $50,000. Marriage matters to you, though not as much as parenthood, and paid-work success is a lower personal priority. You favor shared adult responsibility: childcare should lean toward whoever has more available time, routine housework should be divided equally, major financial decisions should be made together, and career sacrifices should be shared as evenly as possible.",True
14,pew_work_family_repair1_014,,"Your views combine strong commitments to marriage, parenthood, and paid work with a practical approach to sharing responsibilities. You see men and women as similar in physical abilities and parenting, but generally different in interests, emotional expression, and workplace strengths. In partnered life, you favor equal childcare, time-based housework, decision-by-decision financial judgment, and having the lower earner scale back work when a sacrifice is needed.",True
15,pew_work_family_repair1_015,,"Your views combine strong commitment to marriage, parenting, and paid work with a practical, case-by-case approach to household roles. You see men and women as similar in parenting, physical abilities, and workplace strengths, but more different in hobbies and emotional expression. Not being currently partnered does not lessen how important family life feels to you, and you tend to favor pragmatic financial and work-reduction rules such as letting the money manager decide and having the lower earner cut back when needed.",True
16,pew_work_family_repair1_016,,"Your views combine traditional importance placed on marriage and parenthood with a practical, case-by-case approach to family responsibilities. You are not currently in a relationship and have no children at home, but you still see marriage and raising children as very important life goals. You tend to think men and women share similar hobbies and interests, while differing in physical abilities, parenting styles, emotional expression, and workplace strengths. You value paid work as somewhat important, prefer joint financial decisions, believe housework should follow available time, childcare should depend on the family, and think the lower earner should reduce work when someone has to scale back.",True
17,pew_work_family_repair1_017,,"Your views combine a strong sense that men and women differ across interests, abilities, parenting, emotions, and workplace strengths with a practical, nontraditional approach to family life. You are not currently in a relationship, have only school-age children at home, and see parenthood and paid work as very important while placing no personal importance on marriage. You favor equal sharing of childcare and joint financial decision-making, but you think routine housework can reasonably fall mostly to one person, and career sacrifices should be judged entirely by each family's circumstances.",True
18,pew_work_family_repair1_018,,"Your views combine practical egalitarianism with selective beliefs about gender differences. You see men and women as broadly alike in hobbies and workplace abilities, while still viewing physical abilities, parenting approaches, and emotional expression as meaningfully different. You are married but do not treat marriage itself as personally important, and you favor flexible, circumstance-based household arrangements: time availability should guide childcare and housework, major financial choices should be made together, and work reductions should fall to the adult with the more flexible job.",True
19,pew_work_family_repair1_019,,"Your views on gender and family combine traditional and pragmatic instincts: you see men and women as similar in hobbies and parenting, but different in physical abilities, emotional expression, and workplace strengths. You are married, have no children under 18 at home, and place very high importance on marriage and parenthood while treating paid work as somewhat important. You favor equal housework, time-based childcare, higher-earner authority on major financial decisions, and having the adult with the more flexible job scale back work when needed.",True
20,pew_work_family_repair1_020,,"Your views combine fairly traditional beliefs about men and women being different in interests, physical abilities, emotional expression, and workplace strengths with a belief that mothers and fathers can parent in basically similar ways. You are married and have no children under 18 at home, with limited household income, and you see raising children and succeeding in paid work as very important while marriage itself is not a central personal ideal. You prefer joint financial decisions, flexible household rules, and family-specific choices about work sacrifices, but you are comfortable with one parent taking the lead on day-to-day childcare.",True
21,pew_work_family_repair1_021,,"Your views on gender and household life combine traditional distinctions with practical egalitarianism: you see men and women as generally different in interests, physical abilities, parenting, and emotional expression, but basically similar in workplace capability. You are married, have no children under 18 at home, live on a household income under $50,000, place only moderate importance on marriage and no importance on parenthood, and put a strong priority on paid work. You prefer equal housework, case-by-case financial decisions, and practical family tradeoffs, including one parent doing most childcare and the lower earner reducing paid work when necessary.",True
22,pew_work_family_repair1_022,,"Your views combine traditional observations about gender differences in personal life with a more egalitarian view of work and household fairness. You tend to think men and women often differ in interests, physical abilities, parenting styles, and emotional expression, but you see them as basically similar in workplace strengths. You are not currently in a relationship and do not have children at home, place high importance on paid work, see marriage as somewhat important, and are less focused on parenthood. In family decisions, you favor practical responsibility: childcare should follow available time, housework should be shared equally, financial decisions should usually be led by the person managing the money, and career sacrifices should be divided as evenly as possible.",True
