battery,coherence,coverage_item,coverage_option,design_schema_version,design_type,groups,intensity,job_id,prompt,reason,support_id
ATS2026_SOCIAL_RICH,item_specific,social_media_hours,Less than one hour,1,option_coverage,,moderate,teen_social_big_support_001,"Support point identifier: teen_social_big_support_001

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""Less than one hour"" is a plausible response to social_media_hours: Daily time on social media.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover social_media_hours = Less than one hour,1
ATS2026_SOCIAL_RICH,item_specific,social_media_hours,One to three hours,1,option_coverage,,strong,teen_social_big_support_002,"Support point identifier: teen_social_big_support_002

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""One to three hours"" is a plausible response to social_media_hours: Daily time on social media.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover social_media_hours = One to three hours,2
ATS2026_SOCIAL_RICH,item_specific,social_media_hours,Four or more hours,1,option_coverage,,moderate,teen_social_big_support_003,"Support point identifier: teen_social_big_support_003

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""Four or more hours"" is a plausible response to social_media_hours: Daily time on social media.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover social_media_hours = Four or more hours,3
ATS2026_SOCIAL_RICH,item_specific,posting_frequency,Never or almost never,1,option_coverage,,strong,teen_social_big_support_004,"Support point identifier: teen_social_big_support_004

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""Never or almost never"" is a plausible response to posting_frequency: Posting or sharing frequency.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover posting_frequency = Never or almost never,4
ATS2026_SOCIAL_RICH,item_specific,posting_frequency,Less than once a week,1,option_coverage,,moderate,teen_social_big_support_005,"Support point identifier: teen_social_big_support_005

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""Less than once a week"" is a plausible response to posting_frequency: Posting or sharing frequency.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover posting_frequency = Less than once a week,5
ATS2026_SOCIAL_RICH,item_specific,posting_frequency,A few times a week,1,option_coverage,,strong,teen_social_big_support_006,"Support point identifier: teen_social_big_support_006

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""A few times a week"" is a plausible response to posting_frequency: Posting or sharing frequency.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover posting_frequency = A few times a week,6
ATS2026_SOCIAL_RICH,item_specific,posting_frequency,At least once a day,1,option_coverage,,moderate,teen_social_big_support_007,"Support point identifier: teen_social_big_support_007

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""At least once a day"" is a plausible response to posting_frequency: Posting or sharing frequency.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover posting_frequency = At least once a day,7
ATS2026_SOCIAL_RICH,item_specific,late_night_use,Never,1,option_coverage,,strong,teen_social_big_support_008,"Support point identifier: teen_social_big_support_008

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""Never"" is a plausible response to late_night_use: Social-media use after intended bedtime.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover late_night_use = Never,8
ATS2026_SOCIAL_RICH,item_specific,late_night_use,Rarely,1,option_coverage,,moderate,teen_social_big_support_009,"Support point identifier: teen_social_big_support_009

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""Rarely"" is a plausible response to late_night_use: Social-media use after intended bedtime.
Response intensity: moderate.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover late_night_use = Rarely,9
ATS2026_SOCIAL_RICH,item_specific,late_night_use,Sometimes,1,option_coverage,,strong,teen_social_big_support_010,"Support point identifier: teen_social_big_support_010

Survey context: Imagine a nationally representative 2026 survey of US teen girls. Predict the response distribution for the population named in the survey item. These candidate questions were not observed in the American Teenagers Survey and are being used to study whether frontier-model consensus can supply explicitly synthetic calibration targets.
Battery topic: social-media habits and experiences among US teen girls

Construct a synthetic survey-response profile for whom ""Sometimes"" is a plausible response to late_night_use: Social-media use after intended bedtime.
Response intensity: strong.

The targeted item may differ from the other items. Do not infer a uniform outlook across the battery.
Do not invent demographic characteristics unless the design explicitly supplies them.

Write a concise persona describing the attitudes that distinguish this response pattern. Address the persona in the
second person, beginning with ""Your views..."" or ""You..."". This text will become a visible EDSL agent trait, so include
only the persona description—not instructions about answering questions or probabilities. Then provide subjective response
probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers, and sum to
1. Each probability must be at least 0.01.

Items and response options:
- social_media_hours: Daily time on social media
  Options, in output order: 1. Less than one hour; 2. One to three hours; 3. Four or more hours
- posting_frequency: Posting or sharing frequency
  Options, in output order: 1. Never or almost never; 2. Less than once a week; 3. A few times a week; 4. At least once a day
- late_night_use: Social-media use after intended bedtime
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- sleep_interference: Social-media interference with sleep
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- social_comparison: Negative social comparison
  Options, in output order: 1. Never; 2. Rarely; 3. Sometimes; 4. Often
- connection_effect: Effect on connection to friends
  Options, in output order: 1. Makes me feel less connected; 2. Makes little difference; 3. Makes me feel more connected
- parental_rules: Strictness of parental social-media rules
  Options, in output order: 1. No rules; 2. A few loose rules; 3. Some clear rules; 4. Very strict rules
- primary_platform: Primary social-media platform
  Options, in output order: 1. TikTok; 2. Instagram; 3. YouTube; 4. Snapchat; 5. Another platform; 6. I do not use social media

Return only valid JSON with exactly this schema:
{
  ""persona"": ""Your views on ..."",
  ""probabilities"": {
    ""social_media_hours"": [numbers in option order],
    ""posting_frequency"": [numbers in option order],
    ""late_night_use"": [numbers in option order],
    ""sleep_interference"": [numbers in option order],
    ""social_comparison"": [numbers in option order],
    ""connection_effect"": [numbers in option order],
    ""parental_rules"": [numbers in option order],
    ""primary_platform"": [numbers in option order]
  }
}",cover late_night_use = Sometimes,10
