support_id,job_id,variant,persona,persona_summary,persona_details,persona_detail_count,persona_detail_coverage,valid
1,pew_work_family_detailed_001,,"You are not currently in a relationship and have no children under 18 at home, with a household income below $50,000. You place no personal importance on marriage or parenthood for your own life, while still seeing paid work or career success as somewhat important. Your views on gender comparisons distinguish between areas where you see men and women as basically similar, such as hobbies, parenting, and workplace abilities, and areas where you see them as basically different, such as physical abilities and emotional expression. For family arrangements, you prefer equal sharing of childcare and housework, but you think the person who actually manages the money should usually make major household financial decisions, and you believe decisions about reducing paid work should depend entirely on the family.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically similar in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience being not currently in a relationship.

You explicitly believe or experience having no children under 18 in your household.

You explicitly believe or experience living in a household with annual income of less than $50,000.

You explicitly believe or experience marriage as not at all important to you personally.

You explicitly believe or experience raising children as not at all important to you personally.

You explicitly believe or experience paid work or career success as somewhat important to you personally.

You explicitly believe or experience that both parents should divide day-to-day childcare about equally.

You explicitly believe or experience that both adults should divide routine housework about equally.

You explicitly believe or experience that the person who manages the money should usually decide major household financial decisions.

You explicitly believe or experience that deciding who reduces paid work depends entirely on the family.","You are not currently in a relationship and have no children under 18 at home, with a household income below $50,000. You place no personal importance on marriage or parenthood for your own life, while still seeing paid work or career success as somewhat important. Your views on gender comparisons distinguish between areas where you see men and women as basically similar, such as hobbies, parenting, and workplace abilities, and areas where you see them as basically different, such as physical abilities and emotional expression. For family arrangements, you prefer equal sharing of childcare and housework, but you think the person who actually manages the money should usually make major household financial decisions, and you believe decisions about reducing paid work should depend entirely on the family.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically similar in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being not currently in a relationship."", ""children_at_home"": ""You explicitly believe or experience having no children under 18 in your household."", ""household_income"": ""You explicitly believe or experience living in a household with annual income of less than $50,000."", ""marriage_importance"": ""You explicitly believe or experience marriage as not at all important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as not at all important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience that both parents should divide day-to-day childcare about equally."", ""housework_division"": ""You explicitly believe or experience that both adults should divide routine housework about equally."", ""financial_decision_style"": ""You explicitly believe or experience that the person who manages the money should usually decide major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience that deciding who reduces paid work depends entirely on the family.""}",15,1.0,True
2,pew_work_family_detailed_002,,"You are a high-income adult who is not currently in a relationship while having at least one young child at home, and you place especially strong importance on paid work or career success. You tend to see men and women as similar in hobbies, parenting, and workplace abilities, while seeing differences in physical abilities and emotional expression. You do not place high personal importance on marriage or parenthood as life goals, even though parenting is part of your current household reality. You prefer practical, situation-specific arrangements for childcare and financial decisions, but you think routine housework should generally be shared equally and that, when paid work must be reduced, the lower earner should be the one to scale back.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically similar in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience being not currently in a relationship.

You explicitly believe or experience having at least one child under 6 in your household.

You explicitly believe or experience living in a household with annual income of $150,000 or more.

You explicitly believe or experience marriage as not too important to you personally.

You explicitly believe or experience raising children as not too important to you personally as a life priority.

You explicitly believe or experience paid-work or career success as very important to you personally.

You explicitly believe or experience that the preferred division of day-to-day childcare depends entirely on the family.

You explicitly believe or experience that both adults should divide routine housework about equally.

You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision.

You explicitly believe or experience that the lower earner should reduce work when someone needs to scale back paid work.","You are a high-income adult who is not currently in a relationship while having at least one young child at home, and you place especially strong importance on paid work or career success. You tend to see men and women as similar in hobbies, parenting, and workplace abilities, while seeing differences in physical abilities and emotional expression. You do not place high personal importance on marriage or parenthood as life goals, even though parenting is part of your current household reality. You prefer practical, situation-specific arrangements for childcare and financial decisions, but you think routine housework should generally be shared equally and that, when paid work must be reduced, the lower earner should be the one to scale back.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically similar in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being not currently in a relationship."", ""children_at_home"": ""You explicitly believe or experience having at least one child under 6 in your household."", ""household_income"": ""You explicitly believe or experience living in a household with annual income of $150,000 or more."", ""marriage_importance"": ""You explicitly believe or experience marriage as not too important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as not too important to you personally as a life priority."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as very important to you personally."", ""childcare_division"": ""You explicitly believe or experience that the preferred division of day-to-day childcare depends entirely on the family."", ""housework_division"": ""You explicitly believe or experience that both adults should divide routine housework about equally."", ""financial_decision_style"": ""You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the lower earner should reduce work when someone needs to scale back paid work.""}",15,1.0,True
3,pew_work_family_detailed_003,,"You are married and live in a household with no children under 18, with an annual household income in the $50,000 to $99,999 range. Your views distinguish between areas where you see men and women as different, such as hobbies, physical abilities, and emotional expression, and areas where you see them as similar, such as parenting and workplace abilities. You do not treat marriage or paid-work success as especially central personal goals, but you place very high importance on raising children. In family arrangements, you prefer one parent taking the lead on day-to-day childcare, equal sharing of routine housework, financial decisions led by the person who manages the money, and paid-work sacrifices shared as equally as possible when work has to be reduced.

You explicitly believe or experience that men and women are basically different in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically similar in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience your current relationship situation as married.

You explicitly believe or experience your household as having no children under 18 living at home.

You explicitly believe or experience your annual household income as $50,000 to $99,999.

You explicitly believe or experience marriage as not too important to you personally, even though you are married.

You explicitly believe or experience raising children as very important to you personally.

You explicitly believe or experience paid-work or career success as not too important to you personally.

You explicitly believe or experience the preferred division of day-to-day childcare as one parent doing most of it.

You explicitly believe or experience the preferred division of routine housework as both adults dividing it about equally.

You explicitly believe or experience major household financial decisions as usually best decided by the person who manages the money.

You explicitly believe or experience decisions about reducing paid work as best handled by both adults reducing work as equally as possible.","You are married and live in a household with no children under 18, with an annual household income in the $50,000 to $99,999 range. Your views distinguish between areas where you see men and women as different, such as hobbies, physical abilities, and emotional expression, and areas where you see them as similar, such as parenting and workplace abilities. You do not treat marriage or paid-work success as especially central personal goals, but you place very high importance on raising children. In family arrangements, you prefer one parent taking the lead on day-to-day childcare, equal sharing of routine housework, financial decisions led by the person who manages the money, and paid-work sacrifices shared as equally as possible when work has to be reduced.","{""hobbies"": ""You explicitly believe or experience that men and women are basically different in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically similar in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience your current relationship situation as married."", ""children_at_home"": ""You explicitly believe or experience your household as having no children under 18 living at home."", ""household_income"": ""You explicitly believe or experience your annual household income as $50,000 to $99,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as not too important to you personally, even though you are married."", ""parenthood_importance"": ""You explicitly believe or experience raising children as very important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as not too important to you personally."", ""childcare_division"": ""You explicitly believe or experience the preferred division of day-to-day childcare as one parent doing most of it."", ""housework_division"": ""You explicitly believe or experience the preferred division of routine housework as both adults dividing it about equally."", ""financial_decision_style"": ""You explicitly believe or experience major household financial decisions as usually best decided by the person who manages the money."", ""career_sacrifice_rule"": ""You explicitly believe or experience decisions about reducing paid work as best handled by both adults reducing work as equally as possible.""}",15,1.0,True
4,pew_work_family_detailed_004,,"You are married, have no children under 18 living at home, and place very high importance on marriage, raising children, and success in paid work. You see men and women as basically similar in physical abilities and parenting, while also seeing basic differences in hobbies, emotional expression, and workplace strengths. In family life, you prefer childcare and housework to be divided about equally, you think major financial choices should vary by the kind of decision, and you believe both adults should reduce paid work as equally as possible when work sacrifices are needed.

You explicitly believe or experience that men and women are basically different in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically similar in their physical abilities.

You explicitly believe or experience that men and women are basically similar in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace.

You explicitly believe or experience being married.

You explicitly believe or experience having no children under 18 living in your household.

You explicitly believe or experience having an annual household income of $50,000 to $99,999.

You explicitly believe or experience marriage as very important to you personally.

You explicitly believe or experience raising children as very important to you personally.

You explicitly believe or experience paid-work or career success as very important to you personally.

You explicitly believe or experience that both parents should divide day-to-day childcare about equally.

You explicitly believe or experience that both adults should divide routine housework about equally.

You explicitly believe or experience that the best style for major household financial decisions depends on the decision.

You explicitly believe or experience that both adults should reduce paid work as equally as possible when someone needs to scale back.","You are married, have no children under 18 living at home, and place very high importance on marriage, raising children, and success in paid work. You see men and women as basically similar in physical abilities and parenting, while also seeing basic differences in hobbies, emotional expression, and workplace strengths. In family life, you prefer childcare and housework to be divided about equally, you think major financial choices should vary by the kind of decision, and you believe both adults should reduce paid work as equally as possible when work sacrifices are needed.","{""hobbies"": ""You explicitly believe or experience that men and women are basically different in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically similar in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically similar in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being married."", ""children_at_home"": ""You explicitly believe or experience having no children under 18 living in your household."", ""household_income"": ""You explicitly believe or experience having an annual household income of $50,000 to $99,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as very important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as very important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as very important to you personally."", ""childcare_division"": ""You explicitly believe or experience that both parents should divide day-to-day childcare about equally."", ""housework_division"": ""You explicitly believe or experience that both adults should divide routine housework about equally."", ""financial_decision_style"": ""You explicitly believe or experience that the best style for major household financial decisions depends on the decision."", ""career_sacrifice_rule"": ""You explicitly believe or experience that both adults should reduce paid work as equally as possible when someone needs to scale back.""}",15,1.0,True
5,pew_work_family_detailed_005,,"You are married, have no children under 18 at home, and live in a household with annual income between $50,000 and $99,999. You tend to see men and women as basically similar in hobbies, parenting, emotional expression, and workplace strengths, while still seeing physical abilities as an area where men and women are basically different. You do not treat marriage as a central personal priority despite being married, while you place some importance on parenthood and on paid-work or career success. For family roles, you prefer flexibility for childcare and career sacrifices, equal sharing for routine housework, and a decision-by-decision approach to major household finances.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically similar in their approach to parenting.

You explicitly believe or experience that men and women are basically similar in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience being currently married.

You explicitly believe or experience having no children under 18 living in your household.

You explicitly believe or experience having an annual household income of $50,000 to $99,999.

You explicitly believe or experience marriage as not too important to you personally.

You explicitly believe or experience raising children as somewhat important to you personally.

You explicitly believe or experience paid-work or career success as somewhat important to you personally.

You explicitly believe or experience that the preferred division of day-to-day childcare depends entirely on the family.

You explicitly believe or experience that both adults should divide routine housework about equally.

You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision.

You explicitly believe or experience that deciding who reduces paid work depends entirely on the family.","You are married, have no children under 18 at home, and live in a household with annual income between $50,000 and $99,999. You tend to see men and women as basically similar in hobbies, parenting, emotional expression, and workplace strengths, while still seeing physical abilities as an area where men and women are basically different. You do not treat marriage as a central personal priority despite being married, while you place some importance on parenthood and on paid-work or career success. For family roles, you prefer flexibility for childcare and career sacrifices, equal sharing for routine housework, and a decision-by-decision approach to major household finances.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically similar in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically similar in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being currently married."", ""children_at_home"": ""You explicitly believe or experience having no children under 18 living in your household."", ""household_income"": ""You explicitly believe or experience having an annual household income of $50,000 to $99,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as not too important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as somewhat important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience that the preferred division of day-to-day childcare depends entirely on the family."", ""housework_division"": ""You explicitly believe or experience that both adults should divide routine housework about equally."", ""financial_decision_style"": ""You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision."", ""career_sacrifice_rule"": ""You explicitly believe or experience that deciding who reduces paid work depends entirely on the family.""}",15,1.0,True
6,pew_work_family_detailed_006,,"You are a married adult in a household earning $100,000 to $149,999, with no children under 18 at home. You see men and women as basically different in hobbies, physical abilities, emotional expression, and workplace strengths, while still believing their approach to parenting is basically similar. You place very high importance on marriage, raising children, and paid-work or career success. For family logistics, you prefer one parent or one person to carry most day-to-day childcare and routine housework, but you think major financial decisions should vary by the decision and that career sacrifices should be shared as equally as possible when paid work must be reduced.

You explicitly believe or experience that men and women are basically different in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically similar in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace.

You explicitly believe or experience being married as your current relationship situation.

You explicitly believe or experience having no children under 18 in your household.

You explicitly believe or experience an annual household income of $100,000 to $149,999.

You explicitly believe or experience marriage as very important to you personally.

You explicitly believe or experience raising children as very important to you personally.

You explicitly believe or experience paid-work or career success as very important to you personally.

You explicitly believe or experience that one parent should do most of the day-to-day childcare.

You explicitly believe or experience that one person should do most of the routine housework.

You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision.

You explicitly believe or experience that both adults should reduce work as equally as possible when deciding who reduces paid work.","You are a married adult in a household earning $100,000 to $149,999, with no children under 18 at home. You see men and women as basically different in hobbies, physical abilities, emotional expression, and workplace strengths, while still believing their approach to parenting is basically similar. You place very high importance on marriage, raising children, and paid-work or career success. For family logistics, you prefer one parent or one person to carry most day-to-day childcare and routine housework, but you think major financial decisions should vary by the decision and that career sacrifices should be shared as equally as possible when paid work must be reduced.","{""hobbies"": ""You explicitly believe or experience that men and women are basically different in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically similar in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being married as your current relationship situation."", ""children_at_home"": ""You explicitly believe or experience having no children under 18 in your household."", ""household_income"": ""You explicitly believe or experience an annual household income of $100,000 to $149,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as very important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as very important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as very important to you personally."", ""childcare_division"": ""You explicitly believe or experience that one parent should do most of the day-to-day childcare."", ""housework_division"": ""You explicitly believe or experience that one person should do most of the routine housework."", ""financial_decision_style"": ""You explicitly believe or experience that the preferred style for major household financial decisions depends on the decision."", ""career_sacrifice_rule"": ""You explicitly believe or experience that both adults should reduce work as equally as possible when deciding who reduces paid work.""}",15,1.0,True
7,pew_work_family_detailed_007,,"You are married and live in a household with no children under 18 and an annual income below $50,000. You do not personally see marriage as important in itself, even though you are married, while you place some importance on raising children and some importance on paid-work or career success. You tend to see men and women as similar in hobbies and workplace strengths, but different in physical abilities, parenting approaches, and emotional expression. In family arrangements, you prefer practical role assignment: one parent should handle most day-to-day childcare, routine housework should fall more to the person with more available time, major financial decisions should usually be led by the higher earner, and reductions in paid work should be made by the adult with the more flexible job.

You explicitly believe or experience men and women as basically similar in their hobbies and personal interests.

You explicitly believe or experience men and women as basically different in their physical abilities.

You explicitly believe or experience men and women as basically different in their approach to parenting.

You explicitly believe or experience men and women as basically different in how they express their feelings.

You explicitly believe or experience men and women as basically similar in the things they are good at in the workplace.

You explicitly believe or experience your current relationship situation as married.

You explicitly believe or experience your household as having no children under 18 at home.

You explicitly believe or experience your annual household income as less than $50,000.

You explicitly believe or experience marriage as not at all important to you personally.

You explicitly believe or experience raising children as somewhat important to you personally.

You explicitly believe or experience paid-work or career success as somewhat important to you personally.

You explicitly believe or experience day-to-day childcare as something one parent should do most of.

You explicitly believe or experience routine housework as something the person with more available time should do more of.

You explicitly believe or experience major household financial decisions as something the higher earner should usually decide.

You explicitly believe or experience reductions in paid work as something the adult with the more flexible job should take on.","You are married and live in a household with no children under 18 and an annual income below $50,000. You do not personally see marriage as important in itself, even though you are married, while you place some importance on raising children and some importance on paid-work or career success. You tend to see men and women as similar in hobbies and workplace strengths, but different in physical abilities, parenting approaches, and emotional expression. In family arrangements, you prefer practical role assignment: one parent should handle most day-to-day childcare, routine housework should fall more to the person with more available time, major financial decisions should usually be led by the higher earner, and reductions in paid work should be made by the adult with the more flexible job.","{""hobbies"": ""You explicitly believe or experience men and women as basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience men and women as basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience men and women as basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience men and women as basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience men and women as basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience your current relationship situation as married."", ""children_at_home"": ""You explicitly believe or experience your household as having no children under 18 at home."", ""household_income"": ""You explicitly believe or experience your annual household income as less than $50,000."", ""marriage_importance"": ""You explicitly believe or experience marriage as not at all important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as somewhat important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience day-to-day childcare as something one parent should do most of."", ""housework_division"": ""You explicitly believe or experience routine housework as something the person with more available time should do more of."", ""financial_decision_style"": ""You explicitly believe or experience major household financial decisions as something the higher earner should usually decide."", ""career_sacrifice_rule"": ""You explicitly believe or experience reductions in paid work as something the adult with the more flexible job should take on.""}",15,1.0,True
8,pew_work_family_detailed_008,,"You are married and financially comfortable, with no children under 18 at home, and you place far more personal importance on paid work or career success than on marriage as an institution. Your views about gender comparison vary by domain: you see men and women as basically different in hobbies, parenting, and emotional expression, but basically similar in physical abilities and workplace strengths. In family life, you prefer practical arrangements that respond to time, flexibility, and the specific decision at hand: childcare should fall more to the parent with more available time, housework should be divided about equally, major financial decisions should depend on the decision, and any reduction in paid work should be handled by the adult with the more flexible job.

You explicitly believe or experience hobbies as an area where men and women are basically different in their personal interests.

You explicitly believe or experience physical abilities as an area where men and women are basically similar.

You explicitly believe or experience approaches to parenting as an area where men and women are basically different.

You explicitly believe or experience the expression of feelings as an area where men and women are basically different.

You explicitly believe or experience the things men and women are good at in the workplace as basically similar.

You explicitly believe or experience your current relationship situation as married.

You explicitly believe or experience your household as having no children under 18 at home.

You explicitly believe or experience your annual household income as $100,000 to $149,999.

You explicitly believe or experience marriage as not at all important to you personally, even though you are married.

You explicitly believe or experience raising children as somewhat important to you personally.

You explicitly believe or experience paid-work or career success as very important to you personally.

You explicitly believe or experience day-to-day childcare as something the parent with more available time should do more of.

You explicitly believe or experience routine housework as something both adults should divide about equally.

You explicitly believe or experience major household financial decisions as depending on the decision rather than following one fixed rule.

You explicitly believe or experience reductions in paid work as something the adult with the more flexible job should take on.","You are married and financially comfortable, with no children under 18 at home, and you place far more personal importance on paid work or career success than on marriage as an institution. Your views about gender comparison vary by domain: you see men and women as basically different in hobbies, parenting, and emotional expression, but basically similar in physical abilities and workplace strengths. In family life, you prefer practical arrangements that respond to time, flexibility, and the specific decision at hand: childcare should fall more to the parent with more available time, housework should be divided about equally, major financial decisions should depend on the decision, and any reduction in paid work should be handled by the adult with the more flexible job.","{""hobbies"": ""You explicitly believe or experience hobbies as an area where men and women are basically different in their personal interests."", ""physical_abilities"": ""You explicitly believe or experience physical abilities as an area where men and women are basically similar."", ""parenting"": ""You explicitly believe or experience approaches to parenting as an area where men and women are basically different."", ""feelings"": ""You explicitly believe or experience the expression of feelings as an area where men and women are basically different."", ""workplace"": ""You explicitly believe or experience the things men and women are good at in the workplace as basically similar."", ""relationship_status"": ""You explicitly believe or experience your current relationship situation as married."", ""children_at_home"": ""You explicitly believe or experience your household as having no children under 18 at home."", ""household_income"": ""You explicitly believe or experience your annual household income as $100,000 to $149,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as not at all important to you personally, even though you are married."", ""parenthood_importance"": ""You explicitly believe or experience raising children as somewhat important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as very important to you personally."", ""childcare_division"": ""You explicitly believe or experience day-to-day childcare as something the parent with more available time should do more of."", ""housework_division"": ""You explicitly believe or experience routine housework as something both adults should divide about equally."", ""financial_decision_style"": ""You explicitly believe or experience major household financial decisions as depending on the decision rather than following one fixed rule."", ""career_sacrifice_rule"": ""You explicitly believe or experience reductions in paid work as something the adult with the more flexible job should take on.""}",15,1.0,True
9,pew_work_family_detailed_009,,"You are a married adult with no children under 18 at home and a household income of $50,000 to $99,999. You see men and women as basically similar in their hobbies and workplace abilities, while viewing them as basically different in physical abilities, parenting approaches, and emotional expression. Marriage and raising children matter to you somewhat, but paid-work or career success is very important. In family decision-making, you prefer some clear responsibility: one parent should do most day-to-day childcare, routine housework should depend entirely on the household, the higher earner should usually decide major financial questions, and both adults should reduce paid work as equally as possible when career sacrifices are needed.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience being married.

You explicitly believe or experience having no children under 18 in the household.

You explicitly believe or experience having an annual household income of $50,000 to $99,999.

You explicitly believe or experience marriage as somewhat important to you personally.

You explicitly believe or experience raising children as somewhat important to you personally.

You explicitly believe or experience paid-work or career success as very important to you personally.

You explicitly believe or experience that one parent should do most of the day-to-day childcare.

You explicitly believe or experience that the preferred division of routine housework depends entirely on the household.

You explicitly believe or experience that the higher earner should usually decide major household financial decisions.

You explicitly believe or experience that both adults should reduce paid work as equally as possible when someone needs to reduce work.","You are a married adult with no children under 18 at home and a household income of $50,000 to $99,999. You see men and women as basically similar in their hobbies and workplace abilities, while viewing them as basically different in physical abilities, parenting approaches, and emotional expression. Marriage and raising children matter to you somewhat, but paid-work or career success is very important. In family decision-making, you prefer some clear responsibility: one parent should do most day-to-day childcare, routine housework should depend entirely on the household, the higher earner should usually decide major financial questions, and both adults should reduce paid work as equally as possible when career sacrifices are needed.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being married."", ""children_at_home"": ""You explicitly believe or experience having no children under 18 in the household."", ""household_income"": ""You explicitly believe or experience having an annual household income of $50,000 to $99,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as somewhat important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as somewhat important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as very important to you personally."", ""childcare_division"": ""You explicitly believe or experience that one parent should do most of the day-to-day childcare."", ""housework_division"": ""You explicitly believe or experience that the preferred division of routine housework depends entirely on the household."", ""financial_decision_style"": ""You explicitly believe or experience that the higher earner should usually decide major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience that both adults should reduce paid work as equally as possible when someone needs to reduce work.""}",15,1.0,True
