battery,coherence,design_schema_version,design_type,job_id,pattern,prompt,reason,support_id
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_001,"{'feelings': 'Men and women are basically similar', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically similar', 'physical_abilities': 'Men and women are basically similar', 'workplace': 'Men and women are basically similar'}","Support point identifier: pew_w154_diff1_uniform_n96_001

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically similar
- parenting: Men and women are basically similar
- feelings: Men and women are basically similar
- workplace: Men and women are basically similar

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,1
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_002,"{'feelings': 'Men and women are basically similar', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically similar', 'physical_abilities': 'Men and women are basically similar', 'workplace': 'Men and women are basically different'}","Support point identifier: pew_w154_diff1_uniform_n96_002

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically similar
- parenting: Men and women are basically similar
- feelings: Men and women are basically similar
- workplace: Men and women are basically different

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,2
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_003,"{'feelings': 'Men and women are basically different', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically similar', 'physical_abilities': 'Men and women are basically similar', 'workplace': 'Men and women are basically similar'}","Support point identifier: pew_w154_diff1_uniform_n96_003

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically similar
- parenting: Men and women are basically similar
- feelings: Men and women are basically different
- workplace: Men and women are basically similar

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,3
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_004,"{'feelings': 'Men and women are basically different', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically similar', 'physical_abilities': 'Men and women are basically similar', 'workplace': 'Men and women are basically different'}","Support point identifier: pew_w154_diff1_uniform_n96_004

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically similar
- parenting: Men and women are basically similar
- feelings: Men and women are basically different
- workplace: Men and women are basically different

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,4
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_005,"{'feelings': 'Men and women are basically similar', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically different', 'physical_abilities': 'Men and women are basically similar', 'workplace': 'Men and women are basically similar'}","Support point identifier: pew_w154_diff1_uniform_n96_005

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically similar
- parenting: Men and women are basically different
- feelings: Men and women are basically similar
- workplace: Men and women are basically similar

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,5
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_006,"{'feelings': 'Men and women are basically similar', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically different', 'physical_abilities': 'Men and women are basically similar', 'workplace': 'Men and women are basically different'}","Support point identifier: pew_w154_diff1_uniform_n96_006

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically similar
- parenting: Men and women are basically different
- feelings: Men and women are basically similar
- workplace: Men and women are basically different

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,6
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_007,"{'feelings': 'Men and women are basically different', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically different', 'physical_abilities': 'Men and women are basically similar', 'workplace': 'Men and women are basically similar'}","Support point identifier: pew_w154_diff1_uniform_n96_007

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically similar
- parenting: Men and women are basically different
- feelings: Men and women are basically different
- workplace: Men and women are basically similar

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,7
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_008,"{'feelings': 'Men and women are basically different', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically different', 'physical_abilities': 'Men and women are basically similar', 'workplace': 'Men and women are basically different'}","Support point identifier: pew_w154_diff1_uniform_n96_008

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically similar
- parenting: Men and women are basically different
- feelings: Men and women are basically different
- workplace: Men and women are basically different

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,8
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_009,"{'feelings': 'Men and women are basically similar', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically similar', 'physical_abilities': 'Men and women are basically different', 'workplace': 'Men and women are basically similar'}","Support point identifier: pew_w154_diff1_uniform_n96_009

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically different
- parenting: Men and women are basically similar
- feelings: Men and women are basically similar
- workplace: Men and women are basically similar

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,9
W154_DIFF1,explicit,1,pattern_anchor,pew_w154_diff1_uniform_n96_010,"{'feelings': 'Men and women are basically similar', 'hobbies': 'Men and women are basically similar', 'parenting': 'Men and women are basically similar', 'physical_abilities': 'Men and women are basically different', 'workplace': 'Men and women are basically different'}","Support point identifier: pew_w154_diff1_uniform_n96_010

Survey context: A nationally representative Pew Research Center American Trends Panel survey of U.S. adults fielded in September 2024.
Battery topic: whether men and women are basically similar or basically different across domains

Construct a synthetic survey-response profile organized around this declared answer pattern:
- hobbies: Men and women are basically similar
- physical_abilities: Men and women are basically different
- parenting: Men and women are basically similar
- feelings: Men and women are basically similar
- workplace: Men and women are basically different

Follow the complete response pattern explicitly supplied below.
Do not invent demographic characteristics unless the design explicitly supplies them.

Provide a short profile summary describing the attitudes that distinguish this response pattern. Then provide subjective
response probabilities for every item. Each vector must follow the displayed option order, contain nonnegative numbers,
and sum to 1. Each probability must be at least 0.01.

Items and response options:
- hobbies: Their hobbies and personal interests
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- physical_abilities: Their physical abilities
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- parenting: Their approach to parenting
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- feelings: How they express their feelings
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different
- workplace: The things they are good at in the workplace
  Options, in output order: 1. Men and women are basically similar; 2. Men and women are basically different

Return only valid JSON with exactly this schema:
{
  ""profile_summary"": ""short substantive description"",
  ""probabilities"": {
    ""hobbies"": [numbers in option order],
    ""physical_abilities"": [numbers in option order],
    ""parenting"": [numbers in option order],
    ""feelings"": [numbers in option order],
    ""workplace"": [numbers in option order]
  }
}",uniform full-pattern replicate 1,10
