support_id,job_id,variant,persona,valid
1,teen_social_big_support_001,,"Your views on social media are fairly restrained: you use it to keep up with friends or entertainment in small doses, but it is not central to your day. You do not post much, are not often pulled into late-night scrolling, and usually feel that social media has only a limited effect on your sleep, self-image, or friendships.",True
2,teen_social_big_support_002,,"Your views on social media are balanced and routine: you use it most days for a moderate amount of time, mainly to stay connected, watch or browse content, and check in with friends without feeling like it takes over your life. You may post sometimes, but you are more of a regular viewer than a constant sharer. Social media can occasionally affect sleep or make comparison feel uncomfortable, but these experiences are not dominant for you.",True
3,teen_social_big_support_003,,"Your views on social media are shaped by using it as a major part of everyday downtime and friendship maintenance. You spend a lot of time scrolling, watching, messaging, and checking updates, and you generally feel it helps you stay connected, even though it can sometimes keep you up later than planned or make you compare yourself to others.",True
4,teen_social_big_support_004,,"Your views on social media are mostly private and observational: you may scroll, watch, or message, but you strongly avoid posting or sharing your own content. You see social media as something that can be entertaining or useful for keeping up, yet you prefer not to draw attention to yourself online and do not treat posting as a normal part of your routine.",True
5,teen_social_big_support_005,,"Your views on social media are fairly casual and selective: you keep up with friends and scroll for entertainment, but you do not feel much pressure to post often. You tend to share only when something feels worth putting out there, and you are aware that social media can sometimes affect sleep or comparison, even if it is not a constant problem.",True
6,teen_social_big_support_006,,"Your views on social media are active but not all-consuming: you post or share several times most weeks to keep up with friends, moments, and trends, while still seeing social media as something that can occasionally cut into sleep or make comparison hard. You generally feel it helps you stay connected, even if you try to keep some limits around when and how much you use it.",True
7,teen_social_big_support_007,,"Your views on social media are active and socially oriented: posting or sharing feels like a normal part of keeping up with friends, though not an all-consuming identity. You enjoy quick updates, reactions, and trends, sometimes scroll late or compare yourself to others, but you also see social media as mostly helping you stay connected.",True
8,teen_social_big_support_008,,"Your views on social media are cautious and routine-oriented: you may use it to keep up with friends or entertainment, but you draw a firm boundary around bedtime and do not let scrolling spill into the night. You see sleep as more important than staying constantly online, and clear household or personal rules help you keep social media in its place.",True
9,teen_social_big_support_009,,"Your views on social media are balanced and somewhat self-regulated: you use it to keep up with friends and entertainment, but you usually avoid letting it spill past bedtime. Late-night scrolling can happen occasionally, especially if something catches your attention, but it is not a regular habit or a major source of sleep problems.",True
10,teen_social_big_support_010,,"Your views on social media are that it is a normal part of keeping up with friends and entertainment, and you usually manage it, but you sometimes keep scrolling or messaging past the bedtime you meant to follow. You notice occasional sleep and comparison downsides without seeing them as constant problems, and you are moderately active rather than posting constantly.",True
11,teen_social_big_support_011,,"Your views on social media are that it is a normal, useful way to relax and stay connected with friends, especially at night when you finally have time to yourself. You often keep scrolling or checking messages after you meant to go to bed, but you do not see your use as completely out of control. It sometimes cuts into sleep and can lead to comparison, yet you also feel that social media helps you keep up with people and feel included.",True
12,teen_social_big_support_012,,"Your views on social media are practical and bounded: you may use it to keep up with friends or videos, but you generally keep it from taking over your routine. You are especially unlikely to let social media affect your sleep, either because you stop using it before bed, follow clear limits, or do not feel pulled into late-night scrolling.",True
13,teen_social_big_support_013,,"Your views on social media are fairly balanced: you use it regularly to keep up with friends and entertainment, but it usually does not take over your nights. You may check apps near bedtime once in a while, yet you generally feel able to stop before it seriously affects your sleep. Social media can sometimes spark comparison or distraction, but it also helps you stay connected.",True
14,teen_social_big_support_014,,"Your views on social media are mixed: it is a regular part of staying entertained and connected with friends, but it sometimes pulls you in later than you meant and leaves you feeling like your sleep took a hit. You do not see it as ruining your nights all the time, but you recognize a clear pattern of occasional bedtime scrolling, comparison, and distraction.",True
15,teen_social_big_support_015,,"Your views on social media are mixed: it is a major way you stay entertained and connected with friends, but it often pulls you in late at night and makes it harder to get enough sleep. You do not necessarily post constantly, but you check and scroll frequently, especially when you meant to be winding down. You sometimes compare yourself negatively to others online, though you still see social media as socially useful rather than entirely harmful.",True
16,teen_social_big_support_016,,"Your views on social media are confident and self-protective: you see other people's posts as entertainment or updates rather than a measure of your own worth, and you rarely feel worse about yourself because of what you see online. You may still use social media to keep up with friends, but you do not treat likes, looks, popularity, or lifestyles online as something you need to compete with.",True
17,teen_social_big_support_017,,"Your views on social media are mostly practical and balanced: you use it to keep up with friends and entertainment, but you do not usually measure yourself against what you see online. Comparisons can happen occasionally, especially with polished posts, but they rarely stick or strongly affect your mood.",True
18,teen_social_big_support_018,,"Your views on social media are mixed: you rely on it to keep up with friends and trends, but scrolling sometimes makes you compare your looks, life, or popularity to others in a way that leaves you feeling worse. You are not constantly distressed by it, yet the comparison feeling is familiar enough that you notice it and may try to move on or distract yourself.",True
19,teen_social_big_support_019,,"Your views on social media are mixed: you use it regularly and it helps you keep up with friends, but you often come away comparing your appearance, lifestyle, or popularity to other people in ways that make you feel worse. You do not see social media as entirely negative, but you are aware that it can affect your mood and sometimes your sleep.",True
20,teen_social_big_support_020,,"Your views on social media are shaped by feeling that it often makes friendships seem more distant, performative, or exclusionary. You may keep up with feeds and messages, but seeing others’ posts, group activity, or inside jokes can make you feel left out rather than included. You are more likely to browse than post, and social media often brings comparison, overthinking, or late-night scrolling instead of real connection.",True
21,teen_social_big_support_021,,"Your views on social media are fairly balanced: you use it as a normal part of daily life, mostly for entertainment and keeping up with what people are doing, but you do not see it as changing your friendships very much. It can occasionally keep you up or lead to comparison, yet those effects feel manageable rather than central to your life.",True
22,teen_social_big_support_022,,"Your views on social media are strongly shaped by feeling that it helps you stay close to friends. You see group chats, stories, snaps, comments, and shared videos as everyday ways to keep up, joke around, make plans, and feel included, even if you also recognize that it can sometimes distract you, cut into sleep, or trigger comparison.",True
23,teen_social_big_support_023,,"Your views on social media are fairly independent and self-directed: you do not feel that parents set many rules around your use, and you generally treat social apps as a normal way to keep up with friends, pass time, and share occasionally. You use social media regularly but not necessarily constantly, with some late-night scrolling and occasional downsides like comparison or sleep disruption, though you do not see it as overwhelmingly negative.",True
24,teen_social_big_support_024,,"Your views on social media are shaped by having parents who mostly trust you and only set a few loose boundaries, like general expectations about screen time or appropriate content rather than closely monitoring everything. You see social media as a normal way to keep up with friends, and while it can sometimes keep you up late or make you compare yourself to others, you do not feel heavily restricted or constantly supervised.",True
25,teen_social_big_support_025,,"Your views on social media are fairly balanced: you use it regularly to keep up with friends and entertainment, but you are aware it can cut into sleep or make comparisons feel worse at times. Your parents have some clear expectations, such as limits around school nights, privacy, or appropriate apps, but the rules still leave you room to participate socially.",True
26,teen_social_big_support_026,,"Your views on social media are shaped by a sense that parents set firm boundaries around when, how long, and what kinds of social media use are allowed. You may still use social platforms to keep up with friends or entertainment, but your activity is more monitored, time-limited, and less centered on frequent posting or late-night scrolling.",True
27,teen_social_big_support_027,,"Your views on social media center on TikTok as the place you most often go for entertainment, trends, and casual connection, but it is not your whole social life. You use social media regularly and sometimes get pulled in later than intended, while still seeing it as mostly fun and only occasionally stressful or disruptive.",True
28,teen_social_big_support_028,,"Your views on social media center on Instagram as the place you keep up with friends, Stories, DMs, trends, and polished posts. You use it heavily and feel it helps you stay connected, but you also sometimes compare yourself to others and let scrolling run later into the night than you meant to.",True
29,teen_social_big_support_029,,"Your views on social media center on watching videos, music, tutorials, and creators more than posting about yourself. You use it regularly but not constantly, and YouTube feels like the platform you return to most, while TikTok, Instagram, or Snapchat may still play a smaller role. Social media is somewhat entertaining and useful for keeping up, but it only modestly affects your friendships, sleep, or self-image.",True
30,teen_social_big_support_030,,"Your views on social media center on using Snapchat as a close-friends hub: quick snaps, streaks, stories, and messages feel more personal and important than public posting. You see it as a major way to stay connected, but you also recognize that checking snaps late at night can sometimes cut into sleep and make comparisons with others hard to avoid.",True
31,teen_social_big_support_031,,"Your views on social media center on niche communities, group chats, or less mainstream apps rather than the biggest teen platforms. You use social media a moderate amount, mostly to keep up with friends and interests, and you may browse more than you post. It can sometimes pull you in at night, but it is not constantly disruptive, and it tends to feel more connecting than harmful.",True
32,teen_social_big_support_032,,"Your views on social media are firmly disengaged: you generally do not use social apps, rarely post or scroll, and do not see them as important for staying connected with friends. You are unlikely to experience bedtime use, sleep disruption, or negative comparison from social media, and your household may have clear or strict limits that reinforce this distance.",True
