support_id,job_id,item,option_index,option_code,option_label,probability
1,pew_w154_diff1_uniform_n96_001,hobbies,0,1,Men and women are basically similar,0.94
1,pew_w154_diff1_uniform_n96_001,hobbies,1,2,Men and women are basically different,0.06
1,pew_w154_diff1_uniform_n96_001,physical_abilities,0,1,Men and women are basically similar,0.88
1,pew_w154_diff1_uniform_n96_001,physical_abilities,1,2,Men and women are basically different,0.12
1,pew_w154_diff1_uniform_n96_001,parenting,0,1,Men and women are basically similar,0.93
1,pew_w154_diff1_uniform_n96_001,parenting,1,2,Men and women are basically different,0.07
1,pew_w154_diff1_uniform_n96_001,feelings,0,1,Men and women are basically similar,0.9
1,pew_w154_diff1_uniform_n96_001,feelings,1,2,Men and women are basically different,0.1
1,pew_w154_diff1_uniform_n96_001,workplace,0,1,Men and women are basically similar,0.95
1,pew_w154_diff1_uniform_n96_001,workplace,1,2,Men and women are basically different,0.05
2,pew_w154_diff1_uniform_n96_002,hobbies,0,1,Men and women are basically similar,0.88
2,pew_w154_diff1_uniform_n96_002,hobbies,1,2,Men and women are basically different,0.12
2,pew_w154_diff1_uniform_n96_002,physical_abilities,0,1,Men and women are basically similar,0.7
2,pew_w154_diff1_uniform_n96_002,physical_abilities,1,2,Men and women are basically different,0.3
2,pew_w154_diff1_uniform_n96_002,parenting,0,1,Men and women are basically similar,0.82
2,pew_w154_diff1_uniform_n96_002,parenting,1,2,Men and women are basically different,0.18
2,pew_w154_diff1_uniform_n96_002,feelings,0,1,Men and women are basically similar,0.76
2,pew_w154_diff1_uniform_n96_002,feelings,1,2,Men and women are basically different,0.24
2,pew_w154_diff1_uniform_n96_002,workplace,0,1,Men and women are basically similar,0.18
2,pew_w154_diff1_uniform_n96_002,workplace,1,2,Men and women are basically different,0.82
3,pew_w154_diff1_uniform_n96_003,hobbies,0,1,Men and women are basically similar,0.88
3,pew_w154_diff1_uniform_n96_003,hobbies,1,2,Men and women are basically different,0.12
3,pew_w154_diff1_uniform_n96_003,physical_abilities,0,1,Men and women are basically similar,0.86
3,pew_w154_diff1_uniform_n96_003,physical_abilities,1,2,Men and women are basically different,0.14
3,pew_w154_diff1_uniform_n96_003,parenting,0,1,Men and women are basically similar,0.87
3,pew_w154_diff1_uniform_n96_003,parenting,1,2,Men and women are basically different,0.13
3,pew_w154_diff1_uniform_n96_003,feelings,0,1,Men and women are basically similar,0.12
3,pew_w154_diff1_uniform_n96_003,feelings,1,2,Men and women are basically different,0.88
3,pew_w154_diff1_uniform_n96_003,workplace,0,1,Men and women are basically similar,0.89
3,pew_w154_diff1_uniform_n96_003,workplace,1,2,Men and women are basically different,0.11
4,pew_w154_diff1_uniform_n96_004,hobbies,0,1,Men and women are basically similar,0.88
4,pew_w154_diff1_uniform_n96_004,hobbies,1,2,Men and women are basically different,0.12
4,pew_w154_diff1_uniform_n96_004,physical_abilities,0,1,Men and women are basically similar,0.82
4,pew_w154_diff1_uniform_n96_004,physical_abilities,1,2,Men and women are basically different,0.18
4,pew_w154_diff1_uniform_n96_004,parenting,0,1,Men and women are basically similar,0.86
4,pew_w154_diff1_uniform_n96_004,parenting,1,2,Men and women are basically different,0.14
4,pew_w154_diff1_uniform_n96_004,feelings,0,1,Men and women are basically similar,0.16
4,pew_w154_diff1_uniform_n96_004,feelings,1,2,Men and women are basically different,0.84
4,pew_w154_diff1_uniform_n96_004,workplace,0,1,Men and women are basically similar,0.2
4,pew_w154_diff1_uniform_n96_004,workplace,1,2,Men and women are basically different,0.8
5,pew_w154_diff1_uniform_n96_005,hobbies,0,1,Men and women are basically similar,0.92
5,pew_w154_diff1_uniform_n96_005,hobbies,1,2,Men and women are basically different,0.08
5,pew_w154_diff1_uniform_n96_005,physical_abilities,0,1,Men and women are basically similar,0.78
5,pew_w154_diff1_uniform_n96_005,physical_abilities,1,2,Men and women are basically different,0.22
5,pew_w154_diff1_uniform_n96_005,parenting,0,1,Men and women are basically similar,0.13
