item,option,covered,support_rows
social_media_hours,Less than one hour,True,31
social_media_hours,One to three hours,True,11
social_media_hours,Four or more hours,True,22
posting_frequency,Never or almost never,True,17
posting_frequency,Less than once a week,True,15
posting_frequency,A few times a week,True,12
posting_frequency,At least once a day,True,20
late_night_use,Never,True,21
late_night_use,Rarely,True,16
late_night_use,Sometimes,True,10
late_night_use,Often,True,17
sleep_interference,Never,True,18
sleep_interference,Rarely,True,13
sleep_interference,Sometimes,True,11
sleep_interference,Often,True,22
social_comparison,Never,True,20
social_comparison,Rarely,True,13
social_comparison,Sometimes,True,9
social_comparison,Often,True,22
connection_effect,Makes me feel less connected,True,34
connection_effect,Makes little difference,True,19
connection_effect,Makes me feel more connected,True,11
parental_rules,No rules,True,23
parental_rules,A few loose rules,True,10
parental_rules,Some clear rules,True,10
parental_rules,Very strict rules,True,21
primary_platform,TikTok,True,5
primary_platform,Instagram,True,7
primary_platform,YouTube,True,11
primary_platform,Snapchat,True,7
primary_platform,Another platform,True,16
primary_platform,I do not use social media,True,18
